country,transportation_type,value,date
Albania,driving,100.0,2020-01-13
Albania,driving,95.3,2020-01-14
Albania,driving,101.43,2020-01-15
Albania,driving,97.2,2020-01-16
Albania,driving,103.55,2020-01-17
Albania,driving,112.67,2020-01-18
Albania,driving,104.83,2020-01-19
Albania,driving,94.39,2020-01-20
Albania,driving,94.07,2020-01-21
Albania,driving,93.51,2020-01-22
Albania,driving,92.94,2020-01-23
Albania,driving,102.13,2020-01-24
Albania,driving,102.38,2020-01-25
Albania,driving,101.41,2020-01-26
Albania,driving,94.62,2020-01-27
Albania,driving,89.12,2020-01-28
Albania,driving,90.17,2020-01-29
Albania,driving,90.21,2020-01-30
Albania,driving,97.71,2020-01-31
Albania,driving,102.5,2020-02-01
Albania,driving,108.92,2020-02-02
Albania,driving,92.82,2020-02-03
Albania,driving,91.48,2020-02-04
Albania,driving,93.99,2020-02-05
Albania,driving,96.72,2020-02-06
Albania,driving,102.46,2020-02-07
Albania,driving,103.29,2020-02-08
Albania,driving,107.83,2020-02-09
Albania,driving,87.99,2020-02-10
Albania,driving,94.18,2020-02-11
Albania,driving,94.62,2020-02-12
Albania,driving,99.7,2020-02-13
Albania,driving,139.3,2020-02-14
Albania,driving,123.9,2020-02-15
Albania,driving,129.41,2020-02-16
Albania,driving,102.24,2020-02-17
Albania,driving,88.09,2020-02-18
Albania,driving,88.17,2020-02-19
Albania,driving,94.48,2020-02-20
Albania,driving,100.62,2020-02-21
Albania,driving,111.02,2020-02-22
Albania,driving,113.5,2020-02-23
Albania,driving,86.95,2020-02-24
Albania,driving,83.01,2020-02-25
Albania,driving,85.44,2020-02-26
Albania,driving,82.73,2020-02-27
Albania,driving,89.7,2020-02-28
Albania,driving,95.48,2020-02-29
Albania,driving,100.43,2020-03-01
Albania,driving,89.25,2020-03-02
Albania,driving,91.02,2020-03-03
Albania,driving,89.72,2020-03-04
Albania,driving,94.87,2020-03-05
Albania,driving,102.82,2020-03-06
Albania,driving,109.92,2020-03-07
Albania,driving,110.07,2020-03-08
Albania,driving,79.68,2020-03-09
Albania,driving,68.24,2020-03-10
Albania,driving,51.77,2020-03-11
Albania,driving,43.79,2020-03-12
Albania,driving,24.99,2020-03-13
Albania,driving,24.61,2020-03-14
Albania,driving,30.93,2020-03-15
Albania,driving,24.69,2020-03-16
Albania,driving,24.95,2020-03-17
Albania,driving,24.65,2020-03-18
Albania,driving,24.5,2020-03-19
Albania,driving,26.31,2020-03-20
Albania,driving,20.39,2020-03-21
Albania,driving,19.29,2020-03-22
Albania,driving,22.62,2020-03-23
Albania,driving,21.61,2020-03-24
Albania,driving,21.98,2020-03-25
Albania,driving,23.07,2020-03-26
Albania,driving,23.94,2020-03-27
Albania,driving,19.49,2020-03-28
Albania,driving,21.78,2020-03-29
Albania,driving,23.66,2020-03-30
Albania,driving,25.11,2020-03-31
Albania,driving,25.02,2020-04-01
Albania,driving,25.2,2020-04-02
Albania,driving,24.11,2020-04-03
Albania,driving,20.54,2020-04-04
Albania,driving,22.54,2020-04-05
Albania,driving,26.4,2020-04-06
Albania,driving,26.03,2020-04-07
Albania,driving,26.43,2020-04-08
Albania,driving,26.7,2020-04-09
Albania,driving,26.32,2020-04-10
Albania,driving,25.47,2020-04-11
Albania,driving,24.89,2020-04-12
Albania,driving,32.64,2020-04-13
Albania,driving,31.43,2020-04-14
Albania,driving,30.67,2020-04-15
Albania,driving,30.0,2020-04-16
Albania,driving,29.26,2020-04-17
Albania,driving,22.94,2020-04-18
Albania,driving,24.55,2020-04-19
Albania,driving,31.51,2020-04-20
Albania,driving,33.59,2020-04-21
Albania,driving,31.69,2020-04-22
Albania,driving,33.94,2020-04-23
Albania,driving,30.22,2020-04-24
Albania,driving,25.22,2020-04-25
Albania,driving,30.39,2020-04-26
Albania,driving,37.39,2020-04-27
Albania,driving,36.69,2020-04-28
Albania,driving,35.9,2020-04-29
Albania,driving,38.09,2020-04-30
Albania,driving,37.23,2020-05-01
Albania,driving,29.36,2020-05-02
Albania,driving,36.0,2020-05-03
Albania,driving,43.69,2020-05-04
Albania,driving,42.61,2020-05-05
Albania,driving,43.11,2020-05-06
Albania,driving,46.13,2020-05-07
Albania,driving,45.78,2020-05-08
Albania,driving,41.59,2020-05-09
Albania,driving,45.39,2020-05-10
Albania,driving,,2020-05-11
Albania,driving,,2020-05-12
Albania,driving,49.19,2020-05-13
Albania,driving,50.2,2020-05-14
Albania,driving,48.3,2020-05-15
Albania,driving,46.78,2020-05-16
Albania,driving,45.51,2020-05-17
Albania,driving,56.09,2020-05-18
Albania,driving,51.12,2020-05-19
Albania,driving,59.04,2020-05-20
Albania,driving,61.14,2020-05-21
Albania,driving,65.34,2020-05-22
Albania,driving,56.11,2020-05-23
Albania,driving,53.39,2020-05-24
Albania,driving,73.94,2020-05-25
