Date,deaths,confirmed,recovered,active,new_confirmed,new_recovered,new_deaths
2020-07-14,576552,13227227,7503645,5147030,329083,390809,7583
2020-07-12,568969,12898144,7112836,5216339,191933,111219,3986
2020-07-11,564983,12706211,7001625,5139603,218649,125648,4916
2020-07-10,560067,12487562,6875983,5051512,229406,141989,5275
2020-07-09,554793,12258156,6736631,4966732,226629,153412,5448
2020-07-08,549345,12031527,6583219,4898963,211312,139008,5304
2020-07-07,544045,11820215,6444211,4831959,209005,144983,6100
2020-07-06,537945,11611210,6299228,4774037,170170,123588,3782
2020-07-05,534164,11441040,6175640,4731236,181664,119245,3502
2020-07-04,530665,11259376,6056395,4672316,191923,195715,5633
2020-07-03,525034,11067453,5860680,4681739,204884,109715,3821
2020-07-02,521213,10862570,5750965,4590392,205007,175540,5086
2020-07-01,516127,10687287,5585967,4585193,217775,235596,4954
2020-06-30,511173,10469512,5350371,4607968,173243,117302,5743
2020-06-29,505430,10296269,5233069,4557770,155657,94533,3599
2020-06-28,501831,10140612,5138536,4500245,166078,89032,3184
2020-06-27,498648,9974534,5049504,4426382,177702,106306,4528
2020-06-26,494120,9796832,4943198,4359514,191568,106632,4869
2020-06-25,489251,9605264,4836566,4279447,179259,93160,6559
2020-06-24,482692,9426005,4743770,4199543,166894,115723,5201
2020-06-23,477523,9259115,4628047,4153545,164656,104365,5413
2020-06-22,472110,9094459,4523993,4098356,142253,79150,3802
2020-06-21,468308,8952206,4444843,4039055,163680,69876,3900
2020-06-20,464408,8788526,4376018,3948100,126708,132474,4447
2020-06-19,459961,8661818,4243544,3958313,176082,90651,6033
2020-06-18,453928,8485884,4152893,3879063,138958,81142,5026
2020-06-17,448902,8346926,4071751,3826273,175969,118780,5274
2020-06-16,443628,8170957,3952971,3774358,139427,97826,6786
2020-06-15,436842,8031530,3855145,3739543,133517,87594,3832
2020-06-14,433010,7898013,3767551,3697452,133969,71408,3330
2020-06-13,429680,7764044,3696143,3638221,134039,85017,4342
2020-06-12,425339,7630005,3611126,3593540,118318,72577,3936
2020-06-11,421403,7511687,3538549,3551735,154200,85881,5259
2020-06-10,416146,7357487,3452668,3488673,117885,79121,4770
2020-06-09,411381,7239602,3373547,3454674,123301,82265,4893
2020-06-08,406488,7116301,3291282,3418531,108296,152602,3798
2020-06-07,402690,7008005,3138839,3466476,113655,55084,2745
2020-06-06,399945,6894350,3083755,3410650,126743,72673,3879
2020-06-05,396067,6767607,3011082,3360458,137185,143166,4985
2020-06-04,391082,6630422,2867916,3371424,127101,65273,5189
2020-06-03,385893,6506082,2802943,3317246,130313,75423,5697
2020-06-02,380196,6375770,2727532,3268042,113278,62105,4707
2020-06-01,375489,6263390,2694019,3193882,98901,54680,3513
2020-05-31,371981,6164489,2639339,3153169,107928,76624,2909
2020-05-30,369072,6056561,2562715,3124774,134708,71130,4259
2020-05-29,364813,5921853,2491585,3065455,115328,77571,4559
2020-05-28,360254,5806525,2414014,3032257,117196,65954,4679
2020-05-27,355575,5689382,2348152,2985655,102150,63127,5176
2020-05-26,350399,5587232,2285025,2951808,94776,55209,4221
2020-05-25,346178,5492676,2229816,2916682,87812,63205,3092
