Unnamed: 0,Date,EVT,SHL,BAS,BAYN,JNJ,PFE,FMS,FRE.DE,ABT,KMB,MDT,PHG,GE,BDX,CAH,SYK,SIEGY,EOAN.DE,RWE.DE,DUK,ENGI.PA,NGG,NEE,EDF,CVX,XOM,PTR_x,PTR_y,RDS-A,LUK,ROSN,TOT,BP,SNP,TKA.DE,MT,NISTF,PKX,SHE:000709,SHA:600019,SHE:002075,DB,CMC,NCB,GS,BRYN,WFC,JPHLF,CICHY,ACGBY,CRARY,BACHF,C,DAX,TDXP,INDU,NDAQ,NKY,TM,GM,HYMTF,BMW.DE,NSU,VOW.DE,DAI.DE,CON,TSLA,DTE,DRI,TEF,O2D.DE,T,TMUS,VOD,CTM,VZ,NTT.F,SFTBY,AMOV,CHA,AAPL,AMZN,GOOGL,CCCMF,IFX.DE,SAP,CSCO,IBM,INL,INTC,MSF,EBAY_x,EBAY_y,QCOM,TXN,SNE
0,2020-08-11 00:00:00+00:00,20.15,156.0,,0.0,149.14,38.56,43.6,39.27,100.43,157.88,101.7,52.48,6.87,259.29,53.36,189.26,69.016,9.948,33.78,84.99,11.895,59.06,283.98,7.41,91.95,45.5,35.13,35.13,32.49,,0.815,40.65,24.23,44.79,7.49,12.59,8.29,43.56,2.24,4.93,12.23,9.64,23.0,15.45,212.72,0.0331,25.29,7.35,14.95,8.77,5.25,0.38,54.45,28.53,5.0,4.0,132.0,,135.0,28.47,37.0,56.31,,147.4,41.265,,1396.0,120.94,83.43,4.35,2.329,30.41,116.08,15.64,695.6,59.3,20.17,30.5425,12.7397,30.17,447.875,3113.2,1494.0,57.25,21.86,161.94,47.9,128.76,,49.63,,54.21,54.21,106.2,136.81,79.92
1,2020-08-10 00:00:00+00:00,19.9,161.0,,0.0,148.86,38.55,42.73,39.48,100.94,157.61,100.18,52.24,6.43,259.5,52.58,191.39,68.24,9.948,33.38,87.19,11.685,59.24,288.29,7.25,87.94,43.99,34.77,34.77,31.23,,0.815,39.18,23.33,44.04,7.1,11.76,8.29,41.81,2.22,4.88,12.2,9.35,21.99,15.38,209.59,0.033,25.22,7.35,14.45,8.78,4.96,0.3665,52.29,28.01,5.0,4.18,133.51,,130.0,26.91,36.5,55.4,,145.2,40.92,,1448.0,119.4,79.75,4.2,2.302,30.05,115.06,15.28,695.6,58.65,19.7,30.62,12.6,29.44,450.4,3170.31,1490.8,57.25,21.97,159.62,47.16,125.42,,48.2,,55.22,55.22,108.6,133.22,80.45
2,2020-08-07 00:00:00+00:00,19.56,,,0.0,147.51,38.3,42.58,39.14,101.6999,156.5,96.73,52.31,6.29,260.2,52.62,188.48,68.52,9.902000000000001,32.97,83.79,11.585,58.19,282.84,7.26,86.88,43.23,35.03,35.03,30.67,,0.597,38.55,22.62,44.16,7.0360000000000005,11.59,8.29,41.19,2.26,4.93,12.21,9.02,21.49,15.23,203.48,0.027000000000000003,24.13,7.35,14.52,8.6868,4.91,0.337,50.52,27.93,5.0,3.94,129.84,,130.0,26.48,31.09,55.16,,145.3,40.535,,1499.5365,115.9,76.0,4.11,2.27,29.74,113.24,15.38,695.6,57.82,19.575,30.925,11.5,29.57,452.82,3224.01,1509.04,57.25,21.6,161.28,47.33,123.5,,48.53,,55.34,55.34,110.01,133.74,80.5
3,2020-08-06 00:00:00+00:00,19.63,159.0,,0.0,148.4,38.77,43.27,40.07,101.52,155.67,96.82,52.5,6.33,266.0,52.5,187.57,67.35,9.9,32.93,83.27,11.745,58.58,283.03,7.29,86.4299,43.4,35.99,35.99,31.13,,0.825,39.31,23.38,44.61,7.138,12.03,8.29,42.12,2.25,4.94,11.67,9.17,21.63,15.3383,205.0,0.027000000000000003,24.2,7.35,14.88,8.85,4.9,0.3402,50.75,28.005,5.0,3.87,129.78,,128.58,26.17,30.0,55.98,,145.6,40.7,,1490.83,115.36,75.13,4.16,2.331,29.71,107.32,15.27,665.3,57.5,19.515,30.87,12.54,29.89,441.62,3194.36,1476.15,57.25,21.9,160.63,47.23,125.0,,48.79,,55.99,55.99,111.23,132.59,80.86
4,2020-08-05 00:00:00+00:00,19.72,154.0,,0.0,149.1,38.47,43.04,42.34,99.97,155.73,96.81,52.7,6.17,280.3,58.64,190.15,66.37,10.0,32.75,84.72,11.78,60.35,285.22,7.32,88.14,44.15,35.79,35.79,31.96,,0.825,39.96,24.51,44.64,6.89,11.94,8.29,41.15,2.26,4.99,10.73,9.34,21.96,15.185,203.17,0.027000000000000003,24.4,7.35,14.99,8.85,4.99,0.31,50.5,28.05,5.0,3.89,130.3,,125.67,26.2,29.0,56.5,,144.8,40.455,,1492.99,116.18,77.47,4.32,2.388,30.15,108.74,15.57,668.9,58.16,19.615,31.14,12.59,30.42,437.51,3143.77,1476.82,57.25,22.235,162.07,47.67,126.73,,49.72,,56.47,56.47,111.0,130.5,81.7
5,2020-08-04 00:00:00+00:00,19.53,,,0.0,146.99,38.31,44.27,43.13,100.16,152.0,96.9,52.28,6.1,283.03,57.76,190.5,65.03,10.12,32.94,83.5,11.915,59.37,278.71,7.13,84.48,42.34,34.47,34.47,30.85,,0.825,38.73,23.37,43.26,6.792000000000001,11.28,8.29,40.34,2.28,5.0,11.18,9.16,21.22,15.255,199.35,0.0286,24.2,7.35,14.79,8.98,4.9,0.3306,50.23,27.665,5.0,3.85,130.53,,122.93,25.87,24.86,57.09,,140.4,39.8,,1495.01,113.68,74.71,4.32,2.37,29.6,106.63,15.36,680.0,57.2,19.915,32.16,12.5471,29.63,436.53,3101.21,1486.71,57.25,22.5,158.65,47.01,123.82,,48.6,,56.2721,56.2721,109.49,129.04,83.56
6,2020-08-03 00:00:00+00:00,19.34,160.0,,0.0,146.39,38.61,44.52,42.5,101.08,151.59,96.94,52.4,6.14,282.97,55.55,193.0,64.98,9.96,32.1,84.67,11.44,59.4,281.14,7.1,83.98,42.05,34.07,34.07,29.96,,0.8399,37.86,21.97,42.75,6.57,11.23,8.29,40.15,2.25,4.95,10.83,9.06,20.87,15.24,198.49,0.0286,24.25,7.35,14.41,8.74,4.835,0.335,50.56,27.74,5.0,3.77,131.84,,119.62,25.06,24.86,54.7,,134.0,37.52,,1449.2,115.31,76.22,4.24,2.3280000000000003,29.945,107.98,15.29,670.0,57.87,19.56,32.45,12.67,29.84,432.8,3180.51,1491.0,57.25,21.39,160.78,47.14,123.5,,48.27,,55.69,55.69,107.4,128.15,78.71
7,2020-07-31 00:00:00+00:00,19.61,,,0.0,146.66,38.67,44.47,42.46,101.21,151.09,96.42,52.99,6.25,274.07,56.43,195.46,64.81,10.01,31.95,84.05,10.855,59.77,280.92,7.19,83.25,41.16,34.54,34.54,30.81,,0.64,37.48,22.19,42.88,6.513999999999999,11.09,8.29,40.54,2.24,4.93,10.78,9.14,21.0,14.93,199.84,0.033,24.5,7.35,14.68,8.775,4.85,0.335,50.26,27.63,5.0,3.88,130.7,,120.0,25.12,25.0,56.12,,138.0,38.65,,1515.0,114.48,78.48,4.37,2.3409999999999997,29.51,105.63,15.7,663.0,56.85,19.97,31.74,12.856,29.68,411.535,3244.0,1497.05,57.25,20.965,160.67,46.3852,122.71,,48.13,,55.06,55.06,105.66,128.35,76.98
8,2020-07-30 00:00:00+00:00,19.44,164.0,,0.0,147.44,38.28,43.36,44.48,100.98,152.01,97.21,52.3,6.5,273.34,56.81,198.25,64.6,10.175,32.93,84.31,11.235,58.85,280.14,6.98,88.43,43.13,34.72,34.72,31.23,,0.84,38.49,22.8,43.62,6.7,11.01,9.28,41.1,2.24,4.97,10.88,8.68,20.57,14.72,199.5,0.0332,25.19,7.35,14.63,8.9,4.82,0.34,51.11,27.47,5.0,3.59,129.61,,122.0,25.13,28.0,58.0,,145.0,39.89,,1488.0,114.01,77.2,4.42,2.31,29.47,104.72,15.54,663.0,57.21,20.45,32.17,12.94,29.25,376.75,3014.0,1497.97,57.25,21.545,158.16,46.13,123.71,,47.83,,54.0,54.0,102.42,128.45,77.46
9,2020-07-29 00:00:00+00:00,19.5,164.0,,0.0,146.39,39.3,45.55,44.24,100.18,150.77,96.83,53.67,6.99,273.72,56.88,196.76,67.0,10.21,32.87,84.53,11.145,59.77,280.24,7.0,89.48,43.71,35.27,35.27,32.36,,0.51,37.97,22.96,44.24,6.944,11.32,9.28,41.9,2.22,4.91,10.56,8.98,20.0,14.905,201.7,0.0332,25.45,7.35,15.03,8.995,5.05,0.3472,51.17,28.42,5.0,3.55,128.77,,123.38,27.04,28.5,59.86,,147.9,39.965,,1501.0,114.97,76.69,4.49,2.354,29.67,105.22,15.87,663.0,57.37,20.45,32.102,13.49,29.54,375.0,3030.99,1505.0,57.25,21.655,163.84,46.4,124.56,,49.49,,55.19,55.19,92.08,130.93,77.63
