,in,,out
1561307399999,3.4158166E10,1561307399999,3.4158166E10
1561310999999,3.6417757E10,1561310999999,3.6417757E10
1561314599999,3.8152409E10,1561314599999,3.8152409E10
1561318199999,3.6725076E10,1561318199999,3.6725076E10
1561321799999,3.16491817E10,1561321799999,3.16491817E10
1561325399999,2.59747676E10,1561325399999,2.59747676E10
1561328999999,1.90847427E10,1561328999999,1.90847427E10
1561332599999,1.63369923E10,1561332599999,1.63369923E10
1561336199999,1.48984156E10,1561336199999,1.48984156E10
1561339799999,1.29744169E10,1561339799999,1.29744169E10
1561343399999,1.42447872E10,1561343399999,1.42447872E10
1561346999999,1.65081334E10,1561346999999,1.65081334E10
1561350599999,2.23431086E10,1561350599999,2.23431086E10
1561354199999,2.90571182E10,1561354199999,2.90571182E10
1561357799999,3.42010245E10,1561357799999,3.42010245E10
1561361399999,3.6398035E10,1561361399999,3.6398035E10
1561364999999,3.5417776E10,1561364999999,3.5417776E10
1561368599999,3.5808457E10,1561368599999,3.5808457E10
1561372199999,3.6514259E10,1561372199999,3.6514259E10
1561375799999,3.6606685E10,1561375799999,3.6606685E10
1561379399999,3.6757045E10,1561379399999,3.6757045E10
1561382999999,3.5217691E10,1561382999999,3.5217691E10
1561386599999,3.5785327E10,1561386599999,3.5785327E10
1561390199999,3.4999001E10,1561390199999,3.4999001E10
1561393799999,3.525315E10,1561393799999,3.525315E10
1561397399999,3.6282974E10,1561397399999,3.6282974E10
1561400999999,3.7784515E10,1561400999999,3.7784515E10
1561404599999,3.6159025E10,1561404599999,3.6159025E10
1561408199999,3.07510641E10,1561408199999,3.07510641E10
1561411799999,2.61205094E10,1561411799999,2.61205094E10
1561415399999,2.06758973E10,1561415399999,2.06758973E10
1561418999999,1.75332168E10,1561418999999,1.75332168E10
1561422599999,1.58159503E10,1561422599999,1.58159503E10
1561426199999,1.51036733E10,1561426199999,1.51036733E10
1561429799999,1.4815572E10,1561429799999,1.4815572E10
1561433399999,1.78519163E10,1561433399999,1.78519163E10
1561436999999,2.16331121E10,1561436999999,2.16331121E10
1561440599999,2.713873E10,1561440599999,2.713873E10
1561444199999,3.40621455E10,1561444199999,3.40621455E10
1561447799999,3.7159117E10,1561447799999,3.7159117E10
1561451399999,3.5928814E10,1561451399999,3.5928814E10
1561454999999,3.7684269E10,1561454999999,3.7684269E10
1561458599999,3.8288937E10,1561458599999,3.8288937E10
1561462199999,4.06963E10,1561462199999,4.06963E10
1561465799999,3.9788442E10,1561465799999,3.9788442E10
1561469399999,3.8478987E10,1561469399999,3.8478987E10
1561472999999,3.6524122E10,1561472999999,3.6524122E10
1561476599999,3.7173465E10,1561476599999,3.7173465E10
1561480199999,3.6739621E10,1561480199999,3.6739621E10
1561483799999,3.6730204E10,1561483799999,3.6730204E10
1561487399999,3.8191866E10,1561487399999,3.8191866E10
1561490999999,3.5879723E10,1561490999999,3.5879723E10
1561494599999,2.98632417E10,1561494599999,2.98632417E10
1561498199999,2.51224678E10,1561498199999,2.51224678E10
1561501799999,2.02917417E10,1561501799999,2.02917417E10
1561505399999,1.96947681E10,1561505399999,1.96947681E10
1561508999999,1.79611935E10,1561508999999,1.79611935E10
1561512599999,1.69380987E10,1561512599999,1.69380987E10
1561516199999,1.64489226E10,1561516199999,1.64489226E10
1561519799999,1.86528993E10,1561519799999,1.86528993E10
1561523399999,2.35802173E10,1561523399999,2.35802173E10
1561526999999,3.31033948E10,1561526999999,3.31033948E10
1561530599999,,1561530599999,
1561534199999,,1561534199999,
1561537799999,,1561537799999,
1561541399999,,1561541399999,
1561544999999,3.19888671E10,1561544999999,3.19888671E10
1561548599999,3.695691E10,1561548599999,3.695691E10
1561552199999,3.8206853E10,1561552199999,3.8206853E10
1561555799999,3.6322984E10,1561555799999,3.6322984E10
1561559399999,3.4924114E10,1561559399999,3.4924114E10
1561562999999,3.533473E10,1561562999999,3.533473E10
1561566599999,3.5566244E10,1561566599999,3.5566244E10
1561570199999,3.826031E10,1561570199999,3.826031E10
1561573799999,3.9112249E10,1561573799999,3.9112249E10
1561577399999,3.6673921E10,1561577399999,3.6673921E10
1561580999999,3.08655268E10,1561580999999,3.08655268E10
1561584599999,2.51993498E10,1561584599999,2.51993498E10
1561588199999,2.0336726E10,1561588199999,2.0336726E10
1561591799999,1.75754772E10,1561591799999,1.75754772E10
1561595399999,1.59832965E10,1561595399999,1.59832965E10
1561598999999,1.62333737E10,1561598999999,1.62333737E10
1561602599999,1.54954865E10,1561602599999,1.54954865E10
1561606199999,1.86046013E10,1561606199999,1.86046013E10
1561609799999,2.34091479E10,1561609799999,2.34091479E10
1561613399999,2.91341722E10,1561613399999,2.91341722E10
1561616999999,3.4982097E10,1561616999999,3.4982097E10
1561620599999,3.7298713E10,1561620599999,3.7298713E10
1561624199999,3.7356163E10,1561624199999,3.7356163E10
1561627799999,3.7275386E10,1561627799999,3.7275386E10
1561631399999,3.8214767E10,1561631399999,3.8214767E10
1561634999999,3.9204839E10,1561634999999,3.9204839E10
1561638599999,3.8388789E10,1561638599999,3.8388789E10
1561642199999,3.7321642E10,1561642199999,3.7321642E10
1561645799999,3.5150025E10,1561645799999,3.5150025E10
1561649399999,3.6678504E10,1561649399999,3.6678504E10
1561652999999,3.7527831E10,1561652999999,3.7527831E10
1561656599999,3.8692135E10,1561656599999,3.8692135E10
1561660199999,3.9405212E10,1561660199999,3.9405212E10
1561663799999,3.6018835E10,1561663799999,3.6018835E10
1561667399999,3.14962084E10,1561667399999,3.14962084E10
1561670999999,2.61938893E10,1561670999999,2.61938893E10
1561674599999,2.07551365E10,1561674599999,2.07551365E10
1561678199999,1.91820718E10,1561678199999,1.91820718E10
1561681799999,1.70245335E10,1561681799999,1.70245335E10
1561685399999,1.55060285E10,1561685399999,1.55060285E10
1561688999999,1.61130271E10,1561688999999,1.61130271E10
1561692599999,1.77690358E10,1561692599999,1.77690358E10
1561696199999,2.16024433E10,1561696199999,2.16024433E10
1561699799999,2.72660009E10,1561699799999,2.72660009E10
1561703399999,3.27791739E10,1561703399999,3.27791739E10
1561706999999,3.5914756E10,1561706999999,3.5914756E10
1561710599999,3.4923028E10,1561710599999,3.4923028E10
1561714199999,3.6025844E10,1561714199999,3.6025844E10
1561717799999,3.5815838E10,1561717799999,3.5815838E10
1561721399999,3.6355199E10,1561721399999,3.6355199E10
1561724999999,3.5136496E10,1561724999999,3.5136496E10
1561728599999,3.30448343E10,1561728599999,3.30448343E10
1561732199999,3.2508289E10,1561732199999,3.2508289E10
1561735799999,3.27372104E10,1561735799999,3.27372104E10
1561739399999,3.37215058E10,1561739399999,3.37215058E10
1561742999999,3.4938536E10,1561742999999,3.4938536E10
1561746599999,3.6113281E10,1561746599999,3.6113281E10
1561750199999,3.5328389E10,1561750199999,3.5328389E10
1561753799999,3.19346893E10,1561753799999,3.19346893E10
1561757399999,2.83836396E10,1561757399999,2.83836396E10
1561760999999,2.31839642E10,1561760999999,2.31839642E10
1561764599999,2.00651448E10,1561764599999,2.00651448E10
1561768199999,1.70273075E10,1561768199999,1.70273075E10
1561771799999,1.51987804E10,1561771799999,1.51987804E10
1561775399999,1.45985741E10,1561775399999,1.45985741E10
1561778999999,1.62284472E10,1561778999999,1.62284472E10
1561782599999,1.72600484E10,1561782599999,1.72600484E10
1561786199999,1.99549153E10,1561786199999,1.99549153E10
1561789799999,2.29653217E10,1561789799999,2.29653217E10
1561793399999,2.51527475E10,1561793399999,2.51527475E10
1561796999999,2.66593505E10,1561796999999,2.66593505E10
1561800599999,2.7569109E10,1561800599999,2.7569109E10
1561804199999,2.90589512E10,1561804199999,2.90589512E10
1561807799999,2.92627087E10,1561807799999,2.92627087E10
1561811399999,2.93148262E10,1561811399999,2.93148262E10
1561814999999,2.98084577E10,1561814999999,2.98084577E10
1561818599999,3.00272886E10,1561818599999,3.00272886E10
1561822199999,3.0613717E10,1561822199999,3.0613717E10
1561825799999,3.21501266E10,1561825799999,3.21501266E10
1561829399999,3.35379927E10,1561829399999,3.35379927E10
1561832999999,3.5250569E10,1561832999999,3.5250569E10
1561836599999,3.4501992E10,1561836599999,3.4501992E10
1561840199999,3.13564918E10,1561840199999,3.13564918E10
1561843799999,2.73591747E10,1561843799999,2.73591747E10
1561847399999,2.29978685E10,1561847399999,2.29978685E10
1561850999999,1.96726989E10,1561850999999,1.96726989E10
1561854599999,1.7139543E10,1561854599999,1.7139543E10
1561858199999,1.52530954E10,1561858199999,1.52530954E10
1561861799999,1.46196367E10,1561861799999,1.46196367E10
1561865399999,1.49876326E10,1561865399999,1.49876326E10
1561868999999,1.61248123E10,1561868999999,1.61248123E10
1561872599999,1.90725079E10,1561872599999,1.90725079E10
1561876199999,2.24522076E10,1561876199999,2.24522076E10
1561879799999,2.49857987E10,1561879799999,2.49857987E10
1561883399999,2.62569411E10,1561883399999,2.62569411E10
1561886999999,2.74334904E10,1561886999999,2.74334904E10
1561890599999,2.74749727E10,1561890599999,2.74749727E10
1561894199999,2.92179579E10,1561894199999,2.92179579E10
1561897799999,2.94866084E10,1561897799999,2.94866084E10
1561901399999,3.17487698E10,1561901399999,3.17487698E10
1561904999999,3.2604715E10,1561904999999,3.2604715E10
1561908599999,3.37758351E10,1561908599999,3.37758351E10
1561912199999,3.5263361E10,1561912199999,3.5263361E10
1561915799999,3.7620814E10,1561915799999,3.7620814E10
1561919399999,3.8374547E10,1561919399999,3.8374547E10
1561922999999,3.6338307E10,1561922999999,3.6338307E10
1561926599999,3.13978696E10,1561926599999,3.13978696E10
1561930199999,2.64698081E10,1561930199999,2.64698081E10
1561933799999,2.04491121E10,1561933799999,2.04491121E10
1561937399999,1.77889055E10,1561937399999,1.77889055E10
1561940999999,1.54043566E10,1561940999999,1.54043566E10
1561944599999,1.41944689E10,1561944599999,1.41944689E10
1561948199999,1.46703677E10,1561948199999,1.46703677E10
1561951799999,1.68809564E10,1561951799999,1.68809564E10
1561955399999,2.29161226E10,1561955399999,2.29161226E10
1561958999999,2.85855437E10,1561958999999,2.85855437E10
1561962599999,3.41579878E10,1561962599999,3.41579878E10
1561966199999,3.5322999E10,1561966199999,3.5322999E10
1561969799999,3.5854549E10,1561969799999,3.5854549E10
1561973399999,3.6048769E10,1561973399999,3.6048769E10
1561976999999,3.5688186E10,1561976999999,3.5688186E10
1561980599999,3.6227707E10,1561980599999,3.6227707E10
1561984199999,3.6918555E10,1561984199999,3.6918555E10
1561987799999,3.5783782E10,1561987799999,3.5783782E10
1561991399999,3.457153E10,1561991399999,3.457153E10
1561994999999,3.5458126E10,1561994999999,3.5458126E10
1561998599999,3.6368445E10,1561998599999,3.6368445E10
1562002199999,3.9172121E10,1562002199999,3.9172121E10
1562005799999,3.90825E10,1562005799999,3.90825E10
1562009399999,3.654151E10,1562009399999,3.654151E10
1562012999999,3.10937088E10,1562012999999,3.10937088E10
1562016599999,2.63182418E10,1562016599999,2.63182418E10
1562020199999,2.04300882E10,1562020199999,2.04300882E10
1562023799999,1.75457567E10,1562023799999,1.75457567E10
1562027399999,1.56263813E10,1562027399999,1.56263813E10
1562030999999,1.45972521E10,1562030999999,1.45972521E10
1562034599999,1.46746696E10,1562034599999,1.46746696E10
1562038199999,1.68490875E10,1562038199999,1.68490875E10
1562041799999,2.13743329E10,1562041799999,2.13743329E10
1562045399999,2.64414966E10,1562045399999,2.64414966E10
1562048999999,3.20614646E10,1562048999999,3.20614646E10
1562052599999,3.4800325E10,1562052599999,3.4800325E10
1562056199999,3.38074747E10,1562056199999,3.38074747E10
1562059799999,3.4221953E10,1562059799999,3.4221953E10
1562063399999,3.5462726E10,1562063399999,3.5462726E10
1562066999999,3.6648374E10,1562066999999,3.6648374E10
1562070599999,3.6364161E10,1562070599999,3.6364161E10
1562074199999,3.41841981E10,1562074199999,3.41841981E10
1562077799999,3.38131784E10,1562077799999,3.38131784E10
1562081399999,3.33443154E10,1562081399999,3.33443154E10
1562084999999,3.4738602E10,1562084999999,3.4738602E10
1562088599999,3.6844311E10,1562088599999,3.6844311E10
1562092199999,3.9042265E10,1562092199999,3.9042265E10
1562095799999,3.7047763E10,1562095799999,3.7047763E10
1562099399999,3.30764677E10,1562099399999,3.30764677E10
1562102999999,2.7532204E10,1562102999999,2.7532204E10
1562106599999,2.1461033E10,1562106599999,2.1461033E10
1562110199999,1.89190943E10,1562110199999,1.89190943E10
1562113799999,1.71911373E10,1562113799999,1.71911373E10
1562117399999,1.61255864E10,1562117399999,1.61255864E10
1562120999999,1.6345385E10,1562120999999,1.6345385E10
1562124599999,1.75087022E10,1562124599999,1.75087022E10
1562128199999,2.0303575E10,1562128199999,2.0303575E10
1562131799999,2.61869691E10,1562131799999,2.61869691E10
1562135399999,3.14222449E10,1562135399999,3.14222449E10
1562138999999,3.39324129E10,1562138999999,3.39324129E10
1562142599999,3.38957353E10,1562142599999,3.38957353E10
1562146199999,3.41709414E10,1562146199999,3.41709414E10
1562149799999,3.4959286E10,1562149799999,3.4959286E10
1562153399999,3.59994E10,1562153399999,3.59994E10
1562156999999,3.544424E10,1562156999999,3.544424E10
1562160599999,3.1668992E10,1562160599999,3.1668992E10
1562164199999,3.22481746E10,1562164199999,3.22481746E10
1562167799999,3.31227484E10,1562167799999,3.31227484E10
1562171399999,3.4777465E10,1562171399999,3.4777465E10
1562174999999,3.7070832E10,1562174999999,3.7070832E10
1562178599999,3.8597837E10,1562178599999,3.8597837E10
1562182199999,3.7239497E10,1562182199999,3.7239497E10
1562185799999,3.10719283E10,1562185799999,3.10719283E10
1562189399999,2.64749629E10,1562189399999,2.64749629E10
1562192999999,2.04051497E10,1562192999999,2.04051497E10
1562196599999,1.69244211E10,1562196599999,1.69244211E10
1562200199999,1.52872131E10,1562200199999,1.52872131E10
1562203799999,1.41723064E10,1562203799999,1.41723064E10
1562207399999,1.46935357E10,1562207399999,1.46935357E10
1562210999999,1.61666232E10,1562210999999,1.61666232E10
1562214599999,1.98470472E10,1562214599999,1.98470472E10
1562218199999,2.44855542E10,1562218199999,2.44855542E10
1562221799999,2.99222262E10,1562221799999,2.99222262E10
1562225399999,3.16837253E10,1562225399999,3.16837253E10
1562228999999,3.31964457E10,1562228999999,3.31964457E10
1562232599999,3.39368468E10,1562232599999,3.39368468E10
1562236199999,3.4949235E10,1562236199999,3.4949235E10
1562239799999,3.544449E10,1562239799999,3.544449E10
1562243399999,3.6112609E10,1562243399999,3.6112609E10
1562246999999,3.4678854E10,1562246999999,3.4678854E10
1562250599999,3.35585178E10,1562250599999,3.35585178E10
1562254199999,3.42187807E10,1562254199999,3.42187807E10
1562257799999,3.5635872E10,1562257799999,3.5635872E10
1562261399999,3.7277762E10,1562261399999,3.7277762E10
1562264999999,4.0754541E10,1562264999999,4.0754541E10
1562268599999,3.8470771E10,1562268599999,3.8470771E10
1562272199999,3.32457288E10,1562272199999,3.32457288E10
1562275799999,2.8274901E10,1562275799999,2.8274901E10
1562279399999,2.1932714E10,1562279399999,2.1932714E10
1562282999999,1.87443016E10,1562282999999,1.87443016E10
1562286599999,1.60894925E10,1562286599999,1.60894925E10
1562290199999,1.47341445E10,1562290199999,1.47341445E10
1562293799999,1.52318956E10,1562293799999,1.52318956E10
1562297399999,1.69459016E10,1562297399999,1.69459016E10
1562300999999,2.04524339E10,1562300999999,2.04524339E10
1562304599999,2.54016451E10,1562304599999,2.54016451E10
1562308199999,2.99228324E10,1562308199999,2.99228324E10
1562311799999,3.31717059E10,1562311799999,3.31717059E10
1562315399999,3.25445652E10,1562315399999,3.25445652E10
1562318999999,3.33193626E10,1562318999999,3.33193626E10
1562322599999,3.37678213E10,1562322599999,3.37678213E10
1562326199999,3.43003443E10,1562326199999,3.43003443E10
1562329799999,3.42925107E10,1562329799999,3.42925107E10
1562333399999,3.30662769E10,1562333399999,3.30662769E10
1562336999999,3.18537851E10,1562336999999,3.18537851E10
1562340599999,3.17575926E10,1562340599999,3.17575926E10
1562344199999,3.27641866E10,1562344199999,3.27641866E10
1562347799999,3.5034702E10,1562347799999,3.5034702E10
1562351399999,3.6428472E10,1562351399999,3.6428472E10
1562354999999,3.4872517E10,1562354999999,3.4872517E10
1562358599999,3.12828068E10,1562358599999,3.12828068E10
1562362199999,2.71071232E10,1562362199999,2.71071232E10
1562365799999,2.11434271E10,1562365799999,2.11434271E10
1562369399999,1.84398868E10,1562369399999,1.84398868E10
1562372999999,1.60067041E10,1562372999999,1.60067041E10
