,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
0,-0.85618067,0.99678934,1.6226234,1.4200313,0.76067096,1.4822397,1.2943376,1.5468507,1.0860028,2.2215195,2.3909848,0.050576355,2.3541577,-1.0394799,-1.4223934,0.9874365,0.6021387,1.8181338,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01
1,-0.7754456,1.0475667,1.617587,1.5147507,0.843176,1.5034068,1.30598,1.5536387,1.0876498,1.6523718,2.498303,0.103661284,2.3918166,-1.0202136,-1.4020143,1.0450742,0.69740504,1.8944803,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-02
2,-0.6321273,1.0939928,1.6129807,1.5927343,0.90768623,1.5231953,1.3160149,1.5580357,1.086705,1.3134277,2.0656898,0.09348974,2.2303512,-0.747462,-1.417953,1.127198,0.52820903,1.8189148,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-03
3,-0.47398293,1.1311604,1.609056,1.6652108,0.9618065,1.5416557,1.3245487,1.560205,1.083375,1.0804409,2.1005826,0.11113958,2.2280624,-0.65737194,-1.4334817,1.0432442,0.5506097,1.7922448,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-04
4,-0.23067628,1.1550215,1.6059961,1.7400993,1.0058726,1.5588385,1.331688,1.56031,1.0778669,0.90341467,2.1354752,0.12878942,2.2257733,-0.5672819,-1.4490105,0.95929056,0.5730103,1.7655748,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-05
5,-0.06266719,1.1632004,1.603913,1.8079116,1.0328307,1.5747944,1.3375392,1.5585139,1.0703876,0.7904995,2.170368,0.14643927,2.2234845,-0.4771919,-1.4645392,0.8753368,0.59541094,1.7389048,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-06
6,-0.0695619,1.1555439,1.6028539,1.8447069,1.0317829,1.5895737,1.3422086,1.5549803,1.0611438,0.66764474,2.2816675,0.003206702,2.328493,-0.607877,-1.4642764,1.1026012,0.5264452,1.9076468,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-07
7,-0.1291107,1.1343623,1.6028172,1.8366501,0.9971164,1.6032271,1.3458028,1.5498725,1.0503423,0.5035401,2.3443477,0.039835762,2.244931,-0.8721798,-1.4534609,1.0181139,0.48275504,1.9210738,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-08
8,-0.14944226,1.1045063,1.6037679,1.7824867,0.93020636,1.615805,1.3484281,1.5433538,1.0381901,0.29679418,2.6409569,0.15279348,2.311768,-0.85916007,-1.429318,1.1903317,0.47107315,2.0802999,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-09
9,-0.031040398,1.0729364,1.6056552,1.6890278,0.8363965,1.6273581,1.3501911,1.5355877,1.0248941,0.05893692,2.7394478,0.01823596,2.368762,-0.83720493,-1.4287287,1.1204439,0.6084582,2.1405056,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-10
