,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
0,,,,,,-1.0082753,-1.3547966,-0.8776995,-1.3732381,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-01
1,,,,,,-1.010647,-1.3524146,-0.86195743,-1.3849314,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
2,,,,,,-1.0138006,-1.3501993,-0.84966373,-1.3957254,,-2.3194442,-0.49196315,-1.45943,-0.5367013,-0.54651576,-0.09702487,-2.300318,-2.3073323,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-03
3,,,,,,-1.0177057,-1.3481491,-0.84070325,-1.4056455,,-2.2011063,-0.38713962,-1.5394115,-0.5254156,-0.52334106,0.16441149,-1.7122371,-2.2810512,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-04
4,,,,,,-1.0223323,-1.346262,-0.8349608,-1.4147177,,-2.1010823,-0.22659701,-1.5682217,-0.3928747,-0.5243716,0.24737576,-1.30835,-2.2888927,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-05
5,,,,,,-1.0276504,-1.3445361,-0.8323213,-1.4229674,1.2489189,-2.0681171,-0.19413601,-1.5107659,-0.42163813,-0.5209645,0.23166144,-1.5131097,-2.252162,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-06
6,,,,,,-1.0336297,-1.3429695,-0.8326697,-1.4304208,1.4204783,-2.06485,-0.2387659,-1.4961699,-0.46874797,-0.52319646,0.20904101,-1.5530168,-2.2192986,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-07
7,,,,,,-1.0402403,-1.3415605,-0.8358907,-1.4371033,1.4098428,-2.0615828,-0.28339577,-1.4815738,-0.5158579,-0.52542835,0.18642059,-1.592924,-2.1864352,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-08
8,,,,,,-1.047452,-1.340307,-0.84186935,-1.4430406,1.4601377,-2.0583158,-0.32802567,-1.4669778,-0.5629677,-0.5276603,0.16380015,-1.6328311,-2.1535716,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-09
9,,,,,,-1.0552348,-1.3392072,-0.8504905,-1.4482586,1.429921,-2.0105224,-0.38890848,-1.5935153,-0.6666373,-0.44024098,0.23951574,-1.9225949,-2.1514897,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-10
10,,,,,,-1.0635585,-1.3382592,-0.861639,-1.452783,1.2132354,-1.9577655,-0.43152037,-1.8333411,-0.631802,-0.3681648,0.4423184,-1.8531972,-2.1766005,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-11
11,,,,,,-1.0723931,-1.3374612,-0.87519974,-1.4566395,0.8495414,-2.1200523,-0.36271533,-1.4771858,-0.37267458,-0.35229063,0.6829817,-1.7063231,-2.1132164,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-12
12,,,,,,-1.0817084,-1.3368113,-0.8910576,-1.4598539,0.50344074,-2.0341341,-0.36463094,-1.3432678,-0.4184799,-0.35513508,0.51971,-1.8258846,-2.1017945,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-13
13,,,,,,-1.0914745,-1.3363075,-0.90909743,-1.4624517,0.33247772,-2.0455763,-0.3520543,-1.3061863,-0.41734383,-0.34277293,0.41987732,-1.8083123,-2.1044197,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
14,,,,,,-1.1016611,-1.335948,-0.92920417,-1.464459,0.36597455,-2.0570188,-0.33947766,-1.2691047,-0.41620776,-0.33041075,0.32004467,-1.7907399,-2.1070452,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-15
15,,,,,,-1.1122383,-1.3357308,-0.95126265,-1.4659011,0.52997977,-2.068461,-0.32690102,-1.2320231,-0.41507167,-0.3180486,0.22021201,-1.7731675,-2.1096704,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-16
16,,,,,,-1.1231757,-1.3356543,-0.9751578,-1.4668041,0.66028935,-2.0799031,-0.31432438,-1.1949416,-0.4139356,-0.30568644,0.12037936,-1.7555951,-2.1122959,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-17
17,,,,,,-1.1344436,-1.3357162,-1.0007744,-1.4671936,0.6138709,-1.9177254,-0.4582232,-1.1511697,-0.61555153,-0.24358878,0.43447155,-1.6319042,-2.1214166,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-18
18,,,,,,-1.1460117,-1.3359151,-1.0279975,-1.4670953,0.40662795,-1.9177141,-0.44617733,-1.2543718,-0.6055354,-0.23926339,0.34896675,-1.8151939,-2.1519563,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-19
19,,,,,,-1.1578498,-1.3362486,-1.0567118,-1.466535,0.15783703,-1.9442189,-0.4806764,-1.2832338,-0.62793183,-0.24834782,0.3477376,-1.6917144,-2.114332,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-20
20,,,,,,-1.1699281,-1.3367153,-1.0868022,-1.4655383,0.022955172,-1.9634621,-0.45714298,-1.268313,-0.6732628,-0.25174728,0.32438904,-1.7116448,-2.1292148,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-21
21,,,,,,-1.1822162,-1.337313,-1.1181538,-1.464131,0.051879726,-1.9827055,-0.43360958,-1.2533922,-0.7185938,-0.25514677,0.30104044,-1.7315751,-2.1440973,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-22
22,,,,,,-1.1946841,-1.33804,-1.1506512,-1.4623389,0.17215021,-2.0019486,-0.41007614,-1.2384715,-0.7639247,-0.25854626,0.27769187,-1.7515055,-2.1589801,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-23
23,,,,,,-1.207302,-1.3388942,-1.1841795,-1.4601877,0.295999,-2.124562,-0.429539,-1.1841247,-0.69385016,-0.22780982,0.27201262,-1.8382221,-2.1601913,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-24
24,,,,,,-1.2200394,-1.339874,-1.2186234,-1.4577031,0.26309854,-2.0510304,-0.3645956,-1.1303895,-0.3665935,-0.22757126,0.5927131,-2.07441,-2.0128448,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-25
25,,,,,,-1.2328664,-1.3409773,-1.253868,-1.4549109,0.08825906,-1.996059,-0.25936624,-1.2201637,-0.23808897,-0.16930309,0.7163993,-1.9990927,-1.905319,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-26
26,,,,,,-1.2457528,-1.3422023,-1.2897979,-1.4518366,-0.06521005,-1.9345119,-0.22524461,-1.2236365,-0.377262,-0.18685694,0.39479762,-1.7472464,-1.9049522,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-27
27,,,,,,-1.2586687,-1.3435471,-1.3262981,-1.4485062,-0.1388633,-1.9421211,-0.25078353,-1.2796705,-0.46238214,-0.18707551,0.3295026,-1.8421313,-1.932538,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-28
28,,,,,,-1.2715838,-1.3450098,-1.3632536,-1.4449455,-0.06868895,-1.9497303,-0.27632245,-1.3357043,-0.5475023,-0.18729407,0.2642076,-1.9370161,-1.960124,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-29
29,,,,,,-1.2844682,-1.3465885,-1.4005492,-1.4411799,0.07911453,-1.9573395,-0.30186138,-1.3917383,-0.6326224,-0.18751264,0.19891259,-2.0319011,-1.9877099,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-30
30,,,,,,-1.2972916,-1.3482814,-1.4380697,-1.4372352,0.1829845,-2.0184119,-0.29956707,-1.4202712,-0.6807109,-0.16187462,0.0694566,-1.9268681,-2.0422,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-31
31,,,,,,-1.3100241,-1.3500866,-1.4757,-1.4331374,0.15793642,-1.9020671,-0.22451949,-1.1944268,-0.60927284,-0.13697986,-0.041483242,-1.8654586,-2.0309458,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-01
32,,,,,,-1.3226355,-1.352002,-1.5133251,-1.428912,0.009437166,-1.7740008,-0.52725226,-1.4456162,-0.7494881,-0.14122729,-0.2124951,-2.1270185,-2.0150936,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-02
33,,,,,,-1.3350958,-1.3540261,-1.5508299,-1.4245849,-0.11699594,-1.6774536,-0.4195861,-1.3956397,-0.55473155,-0.17664209,-0.2576395,-2.2169843,-1.9550526,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-03
34,,,,,,-1.3473748,-1.3561567,-1.588099,-1.4201816,-0.14820662,-1.7041099,-0.33663556,-1.3934389,-0.5697484,-0.19609308,-0.25027072,-2.237557,-1.9530853,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-04
35,,,,,,-1.3594424,-1.3583921,-1.6250176,-1.4157281,-0.04364088,-1.7307662,-0.253685,-1.3912383,-0.5847652,-0.21554406,-0.24290198,-2.2581296,-1.9511179,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-05
36,,,,,,-1.3712686,-1.3607303,-1.6614704,-1.4112499,0.122352265,-1.7574224,-0.17073447,-1.3890376,-0.59978205,-0.23499504,-0.23553324,-2.2787023,-1.9491506,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-06
37,,,,,,-1.3828232,-1.3631696,-1.6973423,-1.4067727,0.23844807,-1.7011781,-0.17799449,-1.4604473,-0.6361809,-0.19986966,-0.48094177,-2.3448176,-1.943568,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-07
