Date,PS3,PS4,Vita
2008-07-01 00:00:00+00:00,0,0,0
2008-07-02 00:00:00+00:00,3400,0,0
2008-07-03 00:00:00+00:00,3100,0,0
2008-07-04 00:00:00+00:00,1600,0,0
2008-07-05 00:00:00+00:00,800,0,0
2008-07-06 00:00:00+00:00,900,0,0
2008-07-07 00:00:00+00:00,400,0,0
2008-07-08 00:00:00+00:00,3100,0,0
2008-07-09 00:00:00+00:00,3400,0,0
2008-07-10 00:00:00+00:00,2000,0,0
2008-07-11 00:00:00+00:00,1700,0,0
2008-07-12 00:00:00+00:00,2000,0,0
2008-07-13 00:00:00+00:00,2000,0,0
2008-07-14 00:00:00+00:00,1400,0,0
2008-07-15 00:00:00+00:00,1900,0,0
2008-07-16 00:00:00+00:00,2100,0,0
2008-07-17 00:00:00+00:00,2000,0,0
2008-07-18 00:00:00+00:00,1800,0,0
2008-07-19 00:00:00+00:00,1800,0,0
2008-07-20 00:00:00+00:00,1300,0,0
2008-07-21 00:00:00+00:00,2000,0,0
2008-07-22 00:00:00+00:00,1200,0,0
2008-07-23 00:00:00+00:00,1000,0,0
2008-07-24 00:00:00+00:00,1600,0,0
2008-07-25 00:00:00+00:00,2300,0,0
2008-07-26 00:00:00+00:00,1300,0,0
2008-07-27 00:00:00+00:00,1700,0,0
2008-07-28 00:00:00+00:00,1500,0,0
2008-07-29 00:00:00+00:00,1000,0,0
2008-07-30 00:00:00+00:00,1200,0,0
2008-07-31 00:00:00+00:00,1900,0,0
2008-08-01 00:00:00+00:00,2500,0,0
2008-08-02 00:00:00+00:00,2800,0,0
2008-08-03 00:00:00+00:00,2700,0,0
2008-08-04 00:00:00+00:00,3900,0,0
2008-08-05 00:00:00+00:00,5700,0,0
2008-08-06 00:00:00+00:00,4400,0,0
2008-08-07 00:00:00+00:00,4500,0,0
2008-08-08 00:00:00+00:00,3500,0,0
2008-08-09 00:00:00+00:00,4100,0,0
2008-08-10 00:00:00+00:00,5000,0,0
2008-08-11 00:00:00+00:00,3700,0,0
2008-08-12 00:00:00+00:00,3700,0,0
2008-08-13 00:00:00+00:00,2900,0,0
2008-08-14 00:00:00+00:00,2600,0,0
2008-08-15 00:00:00+00:00,2400,0,0
2008-08-16 00:00:00+00:00,4100,0,0
2008-08-17 00:00:00+00:00,3400,0,0
2008-08-18 00:00:00+00:00,2800,0,0
2008-08-19 00:00:00+00:00,4000,0,0
2008-08-20 00:00:00+00:00,2400,0,0
2008-08-21 00:00:00+00:00,2500,0,0
2008-08-22 00:00:00+00:00,3100,0,0
2008-08-23 00:00:00+00:00,3700,0,0
2008-08-24 00:00:00+00:00,3100,0,0
2008-08-25 00:00:00+00:00,3200,0,0
2008-08-26 00:00:00+00:00,3000,0,0
2008-08-27 00:00:00+00:00,4500,0,0
2008-08-28 00:00:00+00:00,5300,0,0
2008-08-29 00:00:00+00:00,4900,0,0
2008-08-30 00:00:00+00:00,6600,0,0
2008-08-31 00:00:00+00:00,5000,0,0
2008-09-01 00:00:00+00:00,4900,0,0
2008-09-02 00:00:00+00:00,3800,0,0
2008-09-03 00:00:00+00:00,3900,0,0
2008-09-04 00:00:00+00:00,3200,0,0
2008-09-05 00:00:00+00:00,3400,0,0
2008-09-06 00:00:00+00:00,5000,0,0
2008-09-07 00:00:00+00:00,5700,0,0
2008-09-08 00:00:00+00:00,3500,0,0
2008-09-09 00:00:00+00:00,3500,0,0
2008-09-10 00:00:00+00:00,2800,0,0
2008-09-11 00:00:00+00:00,4600,0,0
2008-09-12 00:00:00+00:00,5800,0,0
2008-09-13 00:00:00+00:00,7700,0,0
2008-09-14 00:00:00+00:00,7600,0,0
2008-09-15 00:00:00+00:00,4700,0,0
2008-09-16 00:00:00+00:00,3700,0,0
2008-09-17 00:00:00+00:00,4600,0,0
2008-09-18 00:00:00+00:00,7800,0,0
2008-09-19 00:00:00+00:00,7300,0,0
2008-09-20 00:00:00+00:00,8700,0,0
2008-09-21 00:00:00+00:00,8200,0,0
2008-09-22 00:00:00+00:00,4300,0,0
2008-09-23 00:00:00+00:00,4100,0,0
2008-09-24 00:00:00+00:00,4100,0,0
2008-09-25 00:00:00+00:00,7000,0,0
2008-09-26 00:00:00+00:00,7500,0,0
2008-09-27 00:00:00+00:00,9900,0,0
2008-09-28 00:00:00+00:00,10000,0,0
2008-09-29 00:00:00+00:00,6300,0,0
2008-09-30 00:00:00+00:00,6300,0,0
2008-10-01 00:00:00+00:00,5900,0,0
2008-10-02 00:00:00+00:00,5400,0,0
2008-10-03 00:00:00+00:00,6200,0,0
2008-10-04 00:00:00+00:00,7700,0,0
2008-10-05 00:00:00+00:00,9200,0,0
2008-10-06 00:00:00+00:00,5900,0,0
2008-10-07 00:00:00+00:00,4900,0,0
2008-10-08 00:00:00+00:00,4800,0,0
2008-10-09 00:00:00+00:00,5300,0,0
2008-10-10 00:00:00+00:00,7600,0,0
2008-10-11 00:00:00+00:00,10300,0,0
2008-10-12 00:00:00+00:00,11500,0,0
2008-10-13 00:00:00+00:00,7600,0,0
2008-10-14 00:00:00+00:00,7300,0,0
2008-10-15 00:00:00+00:00,10400,0,0
2008-10-16 00:00:00+00:00,10500,0,0
2008-10-17 00:00:00+00:00,10500,0,0
