Date,PS3 new,PS4 new,Vita new
2008-07-01,0,0,0
2008-07-02,3400,0,0
2008-07-03,3100,0,0
2008-07-04,1600,0,0
2008-07-05,800,0,0
2008-07-06,900,0,0
2008-07-07,400,0,0
2008-07-08,3100,0,0
2008-07-09,3400,0,0
2008-07-10,2000,0,0
2008-07-11,1700,0,0
2008-07-12,2000,0,0
2008-07-13,2000,0,0
2008-07-14,1400,0,0
2008-07-15,1900,0,0
2008-07-16,2100,0,0
2008-07-17,2000,0,0
2008-07-18,1800,0,0
2008-07-19,1800,0,0
2008-07-20,1300,0,0
2008-07-21,2000,0,0
2008-07-22,1200,0,0
2008-07-23,1000,0,0
2008-07-24,1600,0,0
2008-07-25,2300,0,0
2008-07-26,1300,0,0
2008-07-27,1700,0,0
2008-07-28,1500,0,0
2008-07-29,1000,0,0
2008-07-30,1200,0,0
2008-07-31,1900,0,0
2008-08-01,2500,0,0
2008-08-02,2800,0,0
2008-08-03,2700,0,0
2008-08-04,3900,0,0
2008-08-05,5700,0,0
2008-08-06,4400,0,0
2008-08-07,4500,0,0
2008-08-08,3500,0,0
2008-08-09,4100,0,0
2008-08-10,5000,0,0
2008-08-11,3700,0,0
2008-08-12,3700,0,0
2008-08-13,2900,0,0
2008-08-14,2600,0,0
2008-08-15,2400,0,0
2008-08-16,4100,0,0
2008-08-17,3400,0,0
2008-08-18,2800,0,0
2008-08-19,4000,0,0
2008-08-20,2400,0,0
2008-08-21,2500,0,0
2008-08-22,3100,0,0
2008-08-23,3700,0,0
2008-08-24,3100,0,0
2008-08-25,3200,0,0
2008-08-26,3000,0,0
2008-08-27,4500,0,0
2008-08-28,5300,0,0
2008-08-29,4900,0,0
2008-08-30,6600,0,0
2008-08-31,5000,0,0
2008-09-01,4900,0,0
2008-09-02,3800,0,0
2008-09-03,3900,0,0
2008-09-04,3200,0,0
2008-09-05,3400,0,0
2008-09-06,5000,0,0
2008-09-07,5700,0,0
2008-09-08,3500,0,0
2008-09-09,3500,0,0
2008-09-10,2800,0,0
2008-09-11,4600,0,0
2008-09-12,5800,0,0
2008-09-13,7700,0,0
2008-09-14,7600,0,0
2008-09-15,4700,0,0
2008-09-16,3700,0,0
2008-09-17,4600,0,0
2008-09-18,7800,0,0
2008-09-19,7300,0,0
2008-09-20,8700,0,0
2008-09-21,8200,0,0
2008-09-22,4300,0,0
2008-09-23,4100,0,0
2008-09-24,4100,0,0
2008-09-25,7000,0,0
2008-09-26,7500,0,0
2008-09-27,9900,0,0
2008-09-28,10000,0,0
2008-09-29,6300,0,0
2008-09-30,6300,0,0
2008-10-01,5900,0,0
2008-10-02,5400,0,0
2008-10-03,6200,0,0
2008-10-04,7700,0,0
2008-10-05,9200,0,0
2008-10-06,5900,0,0
2008-10-07,4900,0,0
2008-10-08,4800,0,0
2008-10-09,5300,0,0
2008-10-10,7600,0,0
2008-10-11,10300,0,0
2008-10-12,11500,0,0
2008-10-13,7600,0,0
2008-10-14,7300,0,0
2008-10-15,10400,0,0
2008-10-16,10500,0,0
2008-10-17,10500,0,0
2008-10-18,12200,0,0
2008-10-19,12600,0,0
2008-10-20,7700,0,0
2008-10-21,7800,0,0
2008-10-22,9000,0,0
2008-10-23,11500,0,0
2008-10-24,14000,0,0
2008-10-25,19100,0,0
2008-10-26,17900,0,0
2008-10-27,21400,0,0
2008-10-28,21500,0,0
2008-10-29,20300,0,0
2008-10-30,24500,0,0
2008-10-31,22400,0,0
2008-11-01,28600,0,0
2008-11-02,32000,0,0
2008-11-03,21100,0,0
2008-11-04,22200,0,0
2008-11-05,17500,0,0
2008-11-06,20500,0,0
2008-11-07,22800,0,0
2008-11-08,31400,0,0
2008-11-09,32300,0,0
2008-11-10,23300,0,0
2008-11-11,28400,0,0
2008-11-12,27400,0,0
2008-11-13,27700,0,0
2008-11-14,31500,0,0
2008-11-15,43800,0,0
2008-11-16,41900,0,0
2008-11-17,26300,0,0
2008-11-18,28000,0,0
2008-11-19,24800,0,0
2008-11-20,25800,0,0
2008-11-21,27800,0,0
2008-11-22,42400,0,0
2008-11-23,40400,0,0
2008-11-24,28700,0,0
2008-11-25,24600,0,0
2008-11-26,28400,0,0
2008-11-27,31700,0,0
2008-11-28,34600,0,0
2008-11-29,41200,0,0
2008-11-30,39900,0,0
2008-12-01,28400,0,0
2008-12-02,19700,0,0
2008-12-03,21500,0,0
2008-12-04,23400,0,0
2008-12-05,25300,0,0
2008-12-06,34700,0,0
2008-12-07,33700,0,0
2008-12-08,22800,0,0
2008-12-09,21500,0,0
2008-12-10,22100,0,0
2008-12-11,25800,0,0
2008-12-12,27600,0,0
2008-12-13,39300,0,0
2008-12-14,37400,0,0
2008-12-15,26700,0,0
2008-12-16,29500,0,0
2008-12-17,27600,0,0
2008-12-18,27000,0,0
2008-12-19,30500,0,0
2008-12-20,37300,0,0
2008-12-21,37400,0,0
2008-12-22,36500,0,0
2008-12-23,36700,0,0
2008-12-24,42500,0,0
2008-12-25,61300,0,0
2008-12-26,61200,0,0
2008-12-27,63000,0,0
2008-12-28,47900,0,0
2008-12-29,61400,0,0
2008-12-30,59800,0,0
2008-12-31,51500,0,0
2009-01-01,49600,0,0
2009-01-02,55800,0,0
2009-01-03,57100,0,0
2009-01-04,57000,0,0
2009-01-05,42000,0,0
2009-01-06,40300,0,0
2009-01-07,36500,0,0
2009-01-08,33500,0,0
2009-01-09,36500,0,0
2009-01-10,55200,0,0
2009-01-11,51300,0,0
2009-01-12,35700,0,0
2009-01-13,32500,0,0
2009-01-14,30600,0,0
2009-01-15,35700,0,0
2009-01-16,36600,0,0
2009-01-17,49800,0,0
2009-01-18,50900,0,0
2009-01-19,35100,0,0
2009-01-20,30100,0,0
2009-01-21,21800,0,0
2009-01-22,23600,0,0
2009-01-23,26300,0,0
2009-01-24,39700,0,0
2009-01-25,41600,0,0
2009-01-26,27100,0,0
2009-01-27,26400,0,0
2009-01-28,28200,0,0
2009-01-29,26600,0,0
2009-01-30,26700,0,0
2009-01-31,37200,0,0
2009-02-01,38700,0,0
2009-02-02,26100,0,0
2009-02-03,25900,0,0
2009-02-04,24700,0,0
2009-02-05,24400,0,0
2009-02-06,27200,0,0
2009-02-07,38800,0,0
2009-02-08,40400,0,0
2009-02-09,24400,0,0
2009-02-10,22500,0,0
2009-02-11,23400,0,0
2009-02-12,23700,0,0
2009-02-13,29300,0,0
2009-02-14,37400,0,0
2009-02-15,38800,0,0
2009-02-16,30500,0,0
2009-02-17,26800,0,0
2009-02-18,26700,0,0
2009-02-19,28000,0,0
2009-02-20,30900,0,0
2009-02-21,41300,0,0
2009-02-22,40700,0,0
2009-02-23,30100,0,0
2009-02-24,26700,0,0
2009-02-25,26600,0,0
2009-02-26,26900,0,0
2009-02-27,31200,0,0
2009-02-28,45400,0,0
2009-03-01,41000,0,0
2009-03-02,30600,0,0
2009-03-03,24900,0,0
2009-03-04,28000,0,0
2009-03-05,28500,0,0
2009-03-06,29800,0,0
2009-03-07,39000,0,0
2009-03-08,43900,0,0
2009-03-09,28400,0,0
2009-03-10,25300,0,0
2009-03-11,25400,0,0
2009-03-12,25400,0,0
2009-03-13,31500,0,0
2009-03-14,41900,0,0
2009-03-15,42200,0,0
2009-03-16,28500,0,0
2009-03-17,25100,0,0
2009-03-18,23700,0,0
2009-03-19,28800,0,0
2009-03-20,29100,0,0
2009-03-21,37300,0,0
2009-03-22,38000,0,0
2009-03-23,28300,0,0
2009-03-24,26000,0,0
2009-03-25,26500,0,0
2009-03-26,26100,0,0
2009-03-27,27700,0,0
2009-03-28,40700,0,0
2009-03-29,40000,0,0
2009-03-30,26400,0,0
2009-03-31,25600,0,0
2009-04-01,24000,0,0
2009-04-02,17200,0,0
2009-04-03,21700,0,0
2009-04-04,29900,0,0
2009-04-05,28700,0,0
2009-04-06,25700,0,0
2009-04-07,21800,0,0
2009-04-08,25000,0,0
2009-04-09,23400,0,0
2009-04-10,30200,0,0
2009-04-11,30500,0,0
2009-04-12,33800,0,0
2009-04-13,28900,0,0
2009-04-14,24200,0,0
2009-04-15,25600,0,0
2009-04-16,23800,0,0
2009-04-17,23800,0,0
2009-04-18,29900,0,0
2009-04-19,30400,0,0
2009-04-20,20800,0,0
2009-04-21,19100,0,0
2009-04-22,22000,0,0
2009-04-23,19300,0,0
2009-04-24,24800,0,0
2009-04-25,29600,0,0
2009-04-26,30100,0,0
2009-04-27,23600,0,0
2009-04-28,21500,0,0
2009-04-29,19000,0,0
2009-04-30,21400,0,0
2009-05-01,28500,0,0
2009-05-02,33400,0,0
2009-05-03,33900,0,0
2009-05-04,25100,0,0
2009-05-05,20900,0,0
2009-05-06,19900,0,0
2009-05-07,22400,0,0
2009-05-08,23400,0,0
2009-05-09,29500,0,0
2009-05-10,26500,0,0
2009-05-11,20700,0,0
2009-05-12,19000,0,0
2009-05-13,19300,0,0
2009-05-14,14400,0,0
2009-05-15,23100,0,0
2009-05-16,28900,0,0
2009-05-17,29900,0,0
2009-05-18,20600,0,0
2009-05-19,21100,0,0
2009-05-20,19900,0,0
2009-05-21,23400,0,0
2009-05-22,23600,0,0
2009-05-23,29600,0,0
2009-05-24,27600,0,0
2009-05-25,26400,0,0
2009-05-26,22800,0,0
2009-05-27,24000,0,0
2009-05-28,24400,0,0
2009-05-29,23600,0,0
2009-05-30,30300,0,0
2009-05-31,29500,0,0
2009-06-01,24300,0,0
2009-06-02,22100,0,0
2009-06-03,21800,0,0
2009-06-04,23400,0,0
2009-06-05,28600,0,0
2009-06-06,32100,0,0
2009-06-07,32200,0,0
2009-06-08,25000,0,0
2009-06-09,23900,0,0
2009-06-10,24000,0,0
2009-06-11,24900,0,0
2009-06-12,24900,0,0
2009-06-13,32700,0,0
2009-06-14,30100,0,0
2009-06-15,25400,0,0
2009-06-16,24500,0,0
2009-06-17,26700,0,0
2009-06-18,23700,0,0
2009-06-19,27000,0,0
2009-06-20,31500,0,0
2009-06-21,31200,0,0
2009-06-22,25100,0,0
2009-06-23,28200,0,0
2009-06-24,23100,0,0
2009-06-25,24400,0,0
2009-06-26,24300,0,0
2009-06-27,29900,0,0
2009-06-28,28100,0,0
2009-06-29,21900,0,0
2009-06-30,20800,0,0
2009-07-01,23800,0,0
2009-07-02,24400,0,0
2009-07-03,27300,0,0
2009-07-04,26100,0,0
2009-07-05,25700,0,0
2009-07-06,24800,0,0
2009-07-07,26400,0,0
2009-07-08,23100,0,0
2009-07-09,24600,0,0
2009-07-10,22900,0,0
2009-07-11,28600,0,0
2009-07-12,28200,0,0
2009-07-13,23700,0,0
2009-07-14,26300,0,0
2009-07-15,23800,0,0
2009-07-16,24100,0,0
2009-07-17,25300,0,0
2009-07-18,28000,0,0
2009-07-19,28300,0,0
2009-07-20,23800,0,0
2009-07-21,25300,0,0
2009-07-22,23900,0,0
2009-07-23,24300,0,0
2009-07-24,23000,0,0
2009-07-25,25400,0,0
2009-07-26,26600,0,0
2009-07-27,23000,0,0
2009-07-28,23400,0,0
2009-07-29,24500,0,0
2009-07-30,24500,0,0
2009-07-31,25200,0,0
2009-08-01,26000,0,0
2009-08-02,27600,0,0
2009-08-03,25000,0,0
2009-08-04,24200,0,0
2009-08-05,23000,0,0
2009-08-06,22400,0,0
2009-08-07,23500,0,0
2009-08-08,25200,0,0
2009-08-09,25700,0,0
2009-08-10,25900,0,0
2009-08-11,23600,0,0
2009-08-12,21900,0,0
2009-08-13,24500,0,0
2009-08-14,26300,0,0
2009-08-15,24100,0,0
2009-08-16,28200,0,0
2009-08-17,25500,0,0
2009-08-18,24800,0,0
2009-08-19,24600,0,0
2009-08-20,23000,0,0
2009-08-21,25200,0,0
2009-08-22,26600,0,0
2009-08-23,27900,0,0
2009-08-24,23900,0,0
2009-08-25,22100,0,0
2009-08-26,23700,0,0
2009-08-27,23900,0,0
2009-08-28,26200,0,0
2009-08-29,30600,0,0
2009-08-30,29600,0,0
2009-08-31,25200,0,0
2009-09-01,35900,0,0
2009-09-02,34400,0,0
2009-09-03,35700,0,0
2009-09-04,32300,0,0
2009-09-05,42300,0,0
2009-09-06,42100,0,0
2009-09-07,39100,0,0
2009-09-08,33200,0,0
2009-09-09,31100,0,0
2009-09-10,31300,0,0
2009-09-11,30800,0,0
2009-09-12,41500,0,0
2009-09-13,41800,0,0
2009-09-14,30000,0,0
2009-09-15,27000,0,0
2009-09-16,27300,0,0
2009-09-17,30500,0,0
2009-09-18,31700,0,0
2009-09-19,42900,0,0
2009-09-20,41000,0,0
2009-09-21,31300,0,0
2009-09-22,29100,0,0
2009-09-23,29700,0,0
2009-09-24,29500,0,0
2009-09-25,32500,0,0
2009-09-26,41600,0,0
2009-09-27,41100,0,0
2009-09-28,30200,0,0
2009-09-29,29800,0,0
2009-09-30,29300,0,0
2009-10-01,26400,0,0
2009-10-02,34200,0,0
2009-10-03,41400,0,0
2009-10-04,40100,0,0
2009-10-05,29100,0,0
2009-10-06,30200,0,0
2009-10-07,29100,0,0
2009-10-08,26800,0,0
2009-10-09,33500,0,0
2009-10-10,44100,0,0
2009-10-11,44200,0,0
2009-10-12,35200,0,0
2009-10-13,33200,0,0
2009-10-14,27600,0,0
2009-10-15,29100,0,0
2009-10-16,32100,0,0
2009-10-17,40700,0,0
2009-10-18,41300,0,0
2009-10-19,29800,0,0
2009-10-20,29600,0,0
2009-10-21,29200,0,0
2009-10-22,29400,0,0
2009-10-23,33800,0,0
2009-10-24,44500,0,0
2009-10-25,41800,0,0
2009-10-26,33200,0,0
2009-10-27,30400,0,0
2009-10-28,34100,0,0
2009-10-29,33400,0,0
2009-10-30,34800,0,0
2009-10-31,42000,0,0
2009-11-01,40600,0,0
2009-11-02,32700,0,0
2009-11-03,33200,0,0
2009-11-04,33600,0,0
2009-11-05,30000,0,0
2009-11-06,36100,0,0
2009-11-07,46500,0,0
2009-11-08,47300,0,0
2009-11-09,34100,0,0
2009-11-10,30100,0,0
2009-11-11,31800,0,0
2009-11-12,31600,0,0
2009-11-13,34600,0,0
2009-11-14,43100,0,0
2009-11-15,43000,0,0
2009-11-16,32800,0,0
2009-11-17,30800,0,0
2009-11-18,32500,0,0
2009-11-19,26100,0,0
2009-11-20,33100,0,0
2009-11-21,40900,0,0
2009-11-22,39300,0,0
2009-11-23,33500,0,0
2009-11-24,32200,0,100
2009-11-25,33900,0,0
2009-11-26,39800,0,0
2009-11-27,41700,0,0
2009-11-28,47200,0,0
2009-11-29,46200,0,0
2009-11-30,34800,0,0
2009-12-01,34200,0,0
2009-12-02,33700,0,0
2009-12-03,37000,0,0
2009-12-04,36300,0,0
2009-12-05,47800,0,0
2009-12-06,45200,0,0
2009-12-07,33600,0,0
2009-12-08,34400,0,0
2009-12-09,47700,0,0
2009-12-10,42300,0,0
2009-12-11,46000,0,0
2009-12-12,61900,0,0
2009-12-13,60500,0,0
2009-12-14,44600,0,0
2009-12-15,42100,0,0
2009-12-16,43900,0,0
2009-12-17,46400,0,0
2009-12-18,49600,0,0
2009-12-19,63600,0,0
2009-12-20,61900,0,0
2009-12-21,57500,0,0
2009-12-22,55200,0,0
2009-12-23,58900,0,0
2009-12-24,67500,0,0
2009-12-25,110800,0,0
2009-12-26,113600,0,0
2009-12-27,110800,0,0
2009-12-28,103700,0,0
2009-12-29,97400,0,0
2009-12-30,94700,0,0
2009-12-31,88600,0,0
2010-01-01,83500,0,0
2010-01-02,94300,0,0
2010-01-03,94000,0,0
2010-01-04,70500,0,0
2010-01-05,71700,0,0
2010-01-06,70300,0,0
2010-01-07,62700,0,0
2010-01-08,68600,0,0
2010-01-09,93800,0,0
2010-01-10,85400,0,0
2010-01-11,57800,0,0
2010-01-12,52200,0,0
2010-01-13,56700,0,0
2010-01-14,52200,0,0
2010-01-15,54900,0,0
2010-01-16,73600,0,0
2010-01-17,70300,0,0
2010-01-18,58400,0,0
2010-01-19,49200,0,0
2010-01-20,47700,0,0
2010-01-21,51100,0,0
2010-01-22,53100,0,0
2010-01-23,73900,0,0
2010-01-24,73500,0,0
2010-01-25,47200,0,0
2010-01-26,49400,0,0
2010-01-27,46100,0,0
2010-01-28,50300,0,0
2010-01-29,54500,0,0
2010-01-30,73400,0,0
2010-01-31,70800,0,0
2010-02-01,47900,0,0
2010-02-02,49000,0,0
2010-02-03,46200,0,0
2010-02-04,48200,0,0
2010-02-05,50500,0,0
2010-02-06,73200,0,0
2010-02-07,69600,0,0
2010-02-08,45500,0,0
2010-02-09,49100,0,0
2010-02-10,53500,0,0
2010-02-11,48200,0,0
2010-02-12,53200,0,0
2010-02-13,70200,0,0
2010-02-14,70900,0,0
2010-02-15,60400,0,0
2010-02-16,55700,0,0
2010-02-17,48100,0,0
2010-02-18,50200,0,0
2010-02-19,52000,0,0
2010-02-20,67400,0,0
2010-02-21,68900,0,0
2010-02-22,46500,0,0
2010-02-23,45700,0,0
2010-02-24,47100,0,0
2010-02-25,46100,0,0
2010-02-26,52000,0,0
2010-02-27,65900,0,0
2010-02-28,65300,0,0
2010-03-01,31100,0,0
2010-03-02,51000,0,0
2010-03-03,44700,0,0
2010-03-04,47200,0,0
2010-03-05,47900,0,0
2010-03-06,68700,0,0
2010-03-07,63000,0,0
2010-03-08,43600,0,0
2010-03-09,42400,0,0
2010-03-10,42600,0,0
2010-03-11,41200,0,0
2010-03-12,48800,0,0
2010-03-13,65100,0,0
2010-03-14,62800,0,0
2010-03-15,46100,0,0
2010-03-16,43600,0,0
2010-03-17,44400,0,0
2010-03-18,40500,0,0
2010-03-19,45700,0,0
2010-03-20,62500,0,0
2010-03-21,61300,0,0
2010-03-22,42400,0,0
2010-03-23,41400,0,0
2010-03-24,38800,0,0
2010-03-25,39200,0,0
2010-03-26,44600,0,0
2010-03-27,62800,0,0
2010-03-28,57600,0,0
2010-03-29,44500,0,0
2010-03-30,46300,0,0
2010-03-31,46600,0,0
2010-04-01,36000,0,0
2010-04-02,48000,0,0
2010-04-03,51400,0,0
2010-04-04,49800,0,0
2010-04-05,46200,0,0
2010-04-06,42100,0,0
2010-04-07,40700,0,0
2010-04-08,40100,0,0
2010-04-09,42600,0,0
2010-04-10,53300,0,0
2010-04-11,51100,0,0
2010-04-12,38900,0,0
2010-04-13,35400,0,0
2010-04-14,34800,0,0
2010-04-15,35800,0,0
2010-04-16,38900,0,0
2010-04-17,50900,0,0
2010-04-18,50900,0,0
2010-04-19,37600,0,0
2010-04-20,36500,0,0
2010-04-21,34300,0,0
2010-04-22,27500,0,0
2010-04-23,34000,0,0
2010-04-24,44800,0,0
2010-04-25,47800,0,0
2010-04-26,32000,0,0
2010-04-27,34700,0,0
2010-04-28,31400,0,0
2010-04-29,29500,0,0
2010-04-30,34300,0,0
2010-05-01,47800,0,0
2010-05-02,48600,0,0
2010-05-03,33800,0,0
2010-05-04,35100,0,0
2010-05-05,34300,0,0
2010-05-06,31700,0,0
2010-05-07,34100,0,0
2010-05-08,48300,0,0
2010-05-09,45500,0,0
2010-05-10,34000,0,0
2010-05-11,32200,0,0
