Date,Prime Video
2015-08-09 00:00:00+00:00,4
2015-08-16 00:00:00+00:00,5
2015-08-23 00:00:00+00:00,4
2015-08-30 00:00:00+00:00,5
2015-09-06 00:00:00+00:00,5
2015-09-13 00:00:00+00:00,4
2015-09-20 00:00:00+00:00,5
2015-09-27 00:00:00+00:00,5
2015-10-04 00:00:00+00:00,4
2015-10-11 00:00:00+00:00,5
2015-10-18 00:00:00+00:00,5
2015-10-25 00:00:00+00:00,5
2015-11-01 00:00:00+00:00,5
2015-11-08 00:00:00+00:00,5
2015-11-15 00:00:00+00:00,6
2015-11-22 00:00:00+00:00,7
2015-11-29 00:00:00+00:00,7
2015-12-06 00:00:00+00:00,7
2015-12-13 00:00:00+00:00,7
2015-12-20 00:00:00+00:00,10
2015-12-27 00:00:00+00:00,11
2016-01-03 00:00:00+00:00,7
2016-01-10 00:00:00+00:00,7
2016-01-17 00:00:00+00:00,7
2016-01-24 00:00:00+00:00,6
2016-01-31 00:00:00+00:00,6
2016-02-07 00:00:00+00:00,6
2016-02-14 00:00:00+00:00,6
2016-02-21 00:00:00+00:00,5
2016-02-28 00:00:00+00:00,5
2016-03-06 00:00:00+00:00,5
2016-03-13 00:00:00+00:00,5
2016-03-20 00:00:00+00:00,5
2016-03-27 00:00:00+00:00,5
2016-04-03 00:00:00+00:00,5
2016-04-10 00:00:00+00:00,5
2016-04-17 00:00:00+00:00,5
2016-04-24 00:00:00+00:00,5
2016-05-01 00:00:00+00:00,5
2016-05-08 00:00:00+00:00,5
2016-05-15 00:00:00+00:00,5
2016-05-22 00:00:00+00:00,5
2016-05-29 00:00:00+00:00,5
2016-06-05 00:00:00+00:00,5
2016-06-12 00:00:00+00:00,5
2016-06-19 00:00:00+00:00,5
2016-06-26 00:00:00+00:00,6
2016-07-03 00:00:00+00:00,6
2016-07-10 00:00:00+00:00,6
2016-07-17 00:00:00+00:00,6
2016-07-24 00:00:00+00:00,6
2016-07-31 00:00:00+00:00,6
2016-08-07 00:00:00+00:00,5
2016-08-14 00:00:00+00:00,5
2016-08-21 00:00:00+00:00,5
2016-08-28 00:00:00+00:00,5
2016-09-04 00:00:00+00:00,6
2016-09-11 00:00:00+00:00,6
2016-09-18 00:00:00+00:00,6
2016-09-25 00:00:00+00:00,6
2016-10-02 00:00:00+00:00,7
2016-10-09 00:00:00+00:00,7
2016-10-16 00:00:00+00:00,7
2016-10-23 00:00:00+00:00,7
2016-10-30 00:00:00+00:00,8
2016-11-06 00:00:00+00:00,7
2016-11-13 00:00:00+00:00,10
2016-11-20 00:00:00+00:00,9
2016-11-27 00:00:00+00:00,9
2016-12-04 00:00:00+00:00,8
2016-12-11 00:00:00+00:00,19
2016-12-18 00:00:00+00:00,16
2016-12-25 00:00:00+00:00,16
2017-01-01 00:00:00+00:00,14
2017-01-08 00:00:00+00:00,14
2017-01-15 00:00:00+00:00,14
2017-01-22 00:00:00+00:00,14
2017-01-29 00:00:00+00:00,13
2017-02-05 00:00:00+00:00,12
2017-02-12 00:00:00+00:00,12
2017-02-19 00:00:00+00:00,13
2017-02-26 00:00:00+00:00,13
2017-03-05 00:00:00+00:00,13
2017-03-12 00:00:00+00:00,13
2017-03-19 00:00:00+00:00,12
2017-03-26 00:00:00+00:00,12
2017-04-02 00:00:00+00:00,12
2017-04-09 00:00:00+00:00,13
2017-04-16 00:00:00+00:00,14
2017-04-23 00:00:00+00:00,14
2017-04-30 00:00:00+00:00,14
2017-05-07 00:00:00+00:00,13
2017-05-14 00:00:00+00:00,13
2017-05-21 00:00:00+00:00,13
2017-05-28 00:00:00+00:00,12
2017-06-04 00:00:00+00:00,12
2017-06-11 00:00:00+00:00,12
2017-06-18 00:00:00+00:00,13
2017-06-25 00:00:00+00:00,15
2017-07-02 00:00:00+00:00,15
2017-07-09 00:00:00+00:00,17
2017-07-16 00:00:00+00:00,16
2017-07-23 00:00:00+00:00,17
2017-07-30 00:00:00+00:00,16
2017-08-06 00:00:00+00:00,17
2017-08-13 00:00:00+00:00,16
2017-08-20 00:00:00+00:00,15
2017-08-27 00:00:00+00:00,14
2017-09-03 00:00:00+00:00,14
2017-09-10 00:00:00+00:00,13
2017-09-17 00:00:00+00:00,14
2017-09-24 00:00:00+00:00,14
2017-10-01 00:00:00+00:00,15
2017-10-08 00:00:00+00:00,16
2017-10-15 00:00:00+00:00,17
2017-10-22 00:00:00+00:00,16
2017-10-29 00:00:00+00:00,17
2017-11-05 00:00:00+00:00,20
2017-11-12 00:00:00+00:00,20
2017-11-19 00:00:00+00:00,20
2017-11-26 00:00:00+00:00,21
2017-12-03 00:00:00+00:00,25
2017-12-10 00:00:00+00:00,25
2017-12-17 00:00:00+00:00,27
2017-12-24 00:00:00+00:00,30
2017-12-31 00:00:00+00:00,28
2018-01-07 00:00:00+00:00,24
2018-01-14 00:00:00+00:00,24
2018-01-21 00:00:00+00:00,24
2018-01-28 00:00:00+00:00,24
2018-02-04 00:00:00+00:00,23
2018-02-11 00:00:00+00:00,24
2018-02-18 00:00:00+00:00,24
2018-02-25 00:00:00+00:00,25
2018-03-04 00:00:00+00:00,23
2018-03-11 00:00:00+00:00,24
2018-03-18 00:00:00+00:00,24
2018-03-25 00:00:00+00:00,28
2018-04-01 00:00:00+00:00,26
2018-04-08 00:00:00+00:00,24
2018-04-15 00:00:00+00:00,23
2018-04-22 00:00:00+00:00,22
2018-04-29 00:00:00+00:00,24
2018-05-06 00:00:00+00:00,24
2018-05-13 00:00:00+00:00,26
2018-05-20 00:00:00+00:00,27
2018-05-27 00:00:00+00:00,27
2018-06-03 00:00:00+00:00,26
2018-06-10 00:00:00+00:00,26
2018-06-17 00:00:00+00:00,25
2018-06-24 00:00:00+00:00,25
2018-07-01 00:00:00+00:00,26
2018-07-08 00:00:00+00:00,27
2018-07-15 00:00:00+00:00,29
2018-07-22 00:00:00+00:00,29
2018-07-29 00:00:00+00:00,28
2018-08-05 00:00:00+00:00,27
2018-08-12 00:00:00+00:00,28
2018-08-19 00:00:00+00:00,30
2018-08-26 00:00:00+00:00,30
2018-09-02 00:00:00+00:00,33
2018-09-09 00:00:00+00:00,30
2018-09-16 00:00:00+00:00,29
2018-09-23 00:00:00+00:00,26
2018-09-30 00:00:00+00:00,29
