Unnamed: 0,Date,EVT,JNJ,PFE,FMS,ABT,KMB,MDT,PHG,GE,BDX,CAH,SYK,SIEGY,DUK,NGG,NEE,EDF,CVX,XOM,PTR_x,PTR_y,RDS-A,TOT,BP,SNP_x,MT,PKX,DB,CMC,GS,WFC,CICHY,ACGBY,CRARY,C,DAX,SNP_y,NDAQ,TM,GM,TSLA,DTE,DRI,TEF,T,TMUS,VOD,VZ,SFTBY,AMOV,CHA,AAPL,AMZN,GOOGL,SAP,CSCO,IBM,INTC,EBAY,EA_x,EA_y,QCOM,TXN,SNE
0,2020-08-05 00:00:00+00:00,19.72,149.1,38.47,43.04,99.97,155.73,96.81,52.7,6.17,280.3,58.64,190.15,66.37,84.72,60.35,285.22,7.32,88.14,44.15,35.79,35.79,31.96,39.96,24.51,44.64,11.94,41.15,9.34,21.96,203.17,24.4,14.99,8.85,4.99,50.5,28.05,44.64,130.3,125.67,26.2,1492.99,116.18,77.47,4.32,30.15,108.74,15.57,58.16,31.14,12.59,30.42,437.51,3143.77,1476.82,162.07,47.67,126.73,49.72,56.47,145.82,145.82,111.0,130.5,81.7
1,2020-08-04 00:00:00+00:00,19.53,146.99,38.31,44.27,100.16,152.0,96.9,52.28,6.1,283.03,57.76,190.5,65.03,83.5,59.37,278.71,7.13,84.48,42.34,34.47,34.47,30.85,38.73,23.37,43.26,11.28,40.34,9.16,21.22,199.35,24.2,14.79,8.98,4.9,50.23,27.665,43.26,130.53,122.93,25.87,1495.01,113.68,74.71,4.32,29.6,106.63,15.36,57.2,32.16,12.5471,29.63,436.53,3101.21,1486.71,158.65,47.01,123.82,48.6,56.2721,143.24,143.24,109.49,129.04,83.56
2,2020-08-03 00:00:00+00:00,19.34,146.39,38.61,44.52,101.08,151.59,96.94,52.4,6.14,282.97,55.55,193.0,64.98,84.67,59.4,281.14,7.1,83.98,42.05,34.07,34.07,29.96,37.86,21.97,42.75,11.23,40.15,9.06,20.87,198.49,24.25,14.41,8.74,4.835,50.56,27.74,42.75,131.84,119.62,25.06,1449.2,115.31,76.22,4.24,29.945,107.98,15.29,57.87,32.45,12.67,29.84,432.8,3180.51,1491.0,160.78,47.14,123.5,48.27,55.69,141.55,141.55,107.4,128.15,78.71
3,2020-07-31 00:00:00+00:00,19.61,146.66,38.67,44.47,101.21,151.09,96.42,52.99,6.25,274.07,56.43,195.46,64.81,84.05,59.77,280.92,7.19,83.25,41.16,34.54,34.54,30.81,37.48,22.19,42.88,11.09,40.54,9.14,21.0,199.84,24.5,14.68,8.775,4.85,50.26,27.63,42.88,130.7,120.0,25.12,1515.0,114.48,78.48,4.37,29.51,105.63,15.7,56.85,31.74,12.856,29.68,411.535,3244.0,1497.05,160.67,46.3852,122.71,48.13,55.06,142.04,142.04,105.66,128.35,76.98
4,2020-07-30 00:00:00+00:00,19.44,147.44,38.28,43.36,100.98,152.01,97.21,52.3,6.5,273.34,56.81,198.25,64.6,84.31,58.85,280.14,6.98,88.43,43.13,34.72,34.72,31.23,38.49,22.8,43.62,11.01,41.1,8.68,20.57,199.5,25.19,14.63,8.9,4.82,51.11,27.47,43.62,129.61,122.0,25.13,1488.0,114.01,77.2,4.42,29.47,104.72,15.54,57.21,32.17,12.94,29.25,376.75,3014.0,1497.97,158.16,46.13,123.71,47.83,54.0,135.7,135.7,102.42,128.45,77.46
5,2020-07-29 00:00:00+00:00,19.5,146.39,39.3,45.55,100.18,150.77,96.83,53.67,6.99,273.72,56.88,196.76,67.0,84.53,59.77,280.24,7.0,89.48,43.71,35.27,35.27,32.36,37.97,22.96,44.24,11.32,41.9,8.98,20.0,201.7,25.45,15.03,8.995,5.05,51.17,28.42,44.24,128.77,123.38,27.04,1501.0,114.97,76.69,4.49,29.67,105.22,15.87,57.37,32.102,13.49,29.54,375.0,3030.99,1505.0,163.84,46.4,124.56,49.49,55.19,135.77,135.77,92.08,130.93,77.63
6,2020-07-28 00:00:00+00:00,19.41,147.4,38.54,45.14,100.14,147.7,96.17,52.67,6.7,274.55,57.34,197.72,66.17,81.25,58.04,277.2,6.99,90.47,43.91,35.4,35.4,32.3,38.06,22.95,44.41,11.52,41.68,9.4,20.44,201.91,25.33,15.06,8.94,5.07,51.02,28.28,44.41,129.56,126.0,25.78,1504.0,112.14,74.8,4.39,29.26,105.0,15.31,57.05,31.1,13.275,29.8,377.47,3054.27,1525.0,161.82,46.98,125.82,49.48,57.11,135.42,135.42,92.171,130.9,78.5
7,2020-07-27 00:00:00+00:00,19.7,147.37,37.36,45.12,98.55,147.13,96.31,52.59,6.84,270.26,56.27,198.0,66.36,82.5,58.28,281.0,6.95,89.76,43.23,36.09,36.09,32.44,38.37,22.99,44.68,11.44,40.9,9.53,20.34,200.1,26.02,15.38,8.98,5.0542,51.46,28.17,44.68,130.69,126.835,25.88,1435.0,114.37,78.13,4.46,29.5,104.53,15.45,57.0,30.85,12.93,29.89,374.84,3062.0,1513.26,162.28,46.66,124.86,51.03,55.7313,135.49,135.49,90.0225,130.35,77.67
8,2020-07-24 00:00:00+00:00,19.75,150.5,38.03,44.54,100.21,147.77,96.43,51.81,7.02,272.54,56.75,194.91,65.445,84.35,57.84,282.88,6.94,91.48,43.88,37.04,37.04,32.3,38.01,22.98,44.7,11.5,40.11,9.68,20.47,203.0,26.47,15.36,8.915,5.1396,52.1,27.935,44.7,131.29,125.37,26.6,1416.01,115.4,76.09,4.55,29.8,104.52,15.67,56.35,30.54,12.93,29.2,363.95,2930.0,1499.19,157.46,47.49,126.48,52.15,55.02,133.75,133.75,89.21,129.75,75.85
9,2020-07-23 00:00:00+00:00,19.98,150.21,39.23,45.61,100.28,145.44,97.61,52.37,7.06,274.1,56.27,194.76,66.21,84.06,57.38,280.0,6.89,90.5,43.4,36.29,36.29,32.45,37.5,23.11,44.53,11.6,40.95,9.64,20.51,205.1,26.16,15.35,9.1,5.17,51.45,28.53,44.53,134.2,125.97,26.44,1678.95,114.21,76.5,4.64,30.15,105.21,16.4,55.81,30.94,13.64,29.04,387.9935,3098.2713,1565.93,163.67,46.975,129.1,61.255,56.44,139.3,139.3,92.91,133.0,77.48
