,data,_cacheHit
0,"{'updated_at': '2020-06-27T14:02:32.777Z', 'date': '2020-06-27', 'deaths': 497379, 'confirmed': 9888730, 'recovered': 5144193, 'active': 4247158, 'new_confirmed': 462725, 'new_recovered': 400423, 'new_deaths': 14687, 'is_in_progress': True}",True
1,"{'updated_at': '2020-06-24T12:33:35.000Z', 'date': '2020-06-24', 'deaths': 482692, 'confirmed': 9426005, 'recovered': 4743770, 'new_confirmed': 166894, 'new_recovered': 115723, 'new_deaths': 5201, 'active': 4199543}",True
2,"{'updated_at': '2020-06-23T02:33:28.000Z', 'date': '2020-06-23', 'deaths': 477523, 'confirmed': 9259115, 'recovered': 4628047, 'new_confirmed': 164656, 'new_recovered': 104365, 'new_deaths': 5413, 'active': 4153545}",True
3,"{'updated_at': '2020-06-22T02:33:22.000Z', 'date': '2020-06-22', 'deaths': 472110, 'confirmed': 9094459, 'recovered': 4523993, 'new_confirmed': 142253, 'new_recovered': 79150, 'new_deaths': 3802, 'active': 4098356}",True
4,"{'updated_at': '2020-06-21T02:33:20.000Z', 'date': '2020-06-21', 'deaths': 468308, 'confirmed': 8952206, 'recovered': 4444843, 'new_confirmed': 163680, 'new_recovered': 69876, 'new_deaths': 3900, 'active': 4039055}",True
5,"{'updated_at': '2020-06-20T02:33:19.000Z', 'date': '2020-06-20', 'deaths': 464408, 'confirmed': 8788526, 'recovered': 4376018, 'new_confirmed': 126708, 'new_recovered': 132474, 'new_deaths': 4447, 'active': 3948100}",True
6,"{'updated_at': '2020-06-19T02:33:19.000Z', 'date': '2020-06-19', 'deaths': 459961, 'confirmed': 8661818, 'recovered': 4243544, 'new_confirmed': 176082, 'new_recovered': 90651, 'new_deaths': 6033, 'active': 3958313}",True
7,"{'updated_at': '2020-06-18T02:33:17.000Z', 'date': '2020-06-18', 'deaths': 453928, 'confirmed': 8485884, 'recovered': 4152893, 'new_confirmed': 138958, 'new_recovered': 81142, 'new_deaths': 5026, 'active': 3879063}",True
8,"{'updated_at': '2020-06-17T02:33:18.000Z', 'date': '2020-06-17', 'deaths': 448902, 'confirmed': 8346926, 'recovered': 4071751, 'new_confirmed': 175969, 'new_recovered': 118780, 'new_deaths': 5274, 'active': 3826273}",True
9,"{'updated_at': '2020-06-16T02:33:21.000Z', 'date': '2020-06-16', 'deaths': 443628, 'confirmed': 8170957, 'recovered': 3952971, 'new_confirmed': 139427, 'new_recovered': 97826, 'new_deaths': 6786, 'active': 3774358}",True
10,"{'updated_at': '2020-06-15T02:33:09.000Z', 'date': '2020-06-15', 'deaths': 436842, 'confirmed': 8031530, 'recovered': 3855145, 'new_confirmed': 133517, 'new_recovered': 87594, 'new_deaths': 3832, 'active': 3739543}",True
11,"{'updated_at': '2020-06-14T01:33:14.000Z', 'date': '2020-06-14', 'deaths': 433010, 'confirmed': 7898013, 'recovered': 3767551, 'new_confirmed': 133969, 'new_recovered': 71408, 'new_deaths': 3330, 'active': 3697452}",True
12,"{'updated_at': '2020-06-13T01:33:15.000Z', 'date': '2020-06-13', 'deaths': 429680, 'confirmed': 7764044, 'recovered': 3696143, 'new_confirmed': 134039, 'new_recovered': 85017, 'new_deaths': 4342, 'active': 3638221}",True
13,"{'updated_at': '2020-06-12T01:33:14.000Z', 'date': '2020-06-12', 'deaths': 425339, 'confirmed': 7630005, 'recovered': 3611126, 'new_confirmed': 118318, 'new_recovered': 72577, 'new_deaths': 3936, 'active': 3593540}",True
14,"{'updated_at': '2020-06-11T03:09:52.000Z', 'date': '2020-06-11', 'deaths': 421403, 'confirmed': 7511687, 'recovered': 3538549, 'new_confirmed': 154200, 'new_recovered': 85881, 'new_deaths': 5259, 'active': 3551735}",True
15,"{'updated_at': '2020-06-10T01:33:41.000Z', 'date': '2020-06-10', 'deaths': 416146, 'confirmed': 7357487, 'recovered': 3452668, 'new_confirmed': 117885, 'new_recovered': 79121, 'new_deaths': 4770, 'active': 3488673}",True
16,"{'updated_at': '2020-06-09T02:07:00.000Z', 'date': '2020-06-09', 'deaths': 411381, 'confirmed': 7239602, 'recovered': 3373547, 'new_confirmed': 123301, 'new_recovered': 82265, 'new_deaths': 4893, 'active': 3454674}",True
17,"{'updated_at': '2020-06-08T01:33:03.000Z', 'date': '2020-06-08', 'deaths': 406488, 'confirmed': 7116301, 'recovered': 3291282, 'new_confirmed': 108296, 'new_recovered': 152602, 'new_deaths': 3798, 'active': 3418531}",True
18,"{'updated_at': '2020-06-07T01:33:22.000Z', 'date': '2020-06-07', 'deaths': 402690, 'confirmed': 7008005, 'recovered': 3138839, 'new_confirmed': 113655, 'new_recovered': 55084, 'new_deaths': 2745, 'active': 3466476}",True
