timestamp,open,high,low,close,volume
2020-07-24,0.0296,0.0296,0.0262,0.0262,2000
2020-07-23,0.0334,0.0334,0.0334,0.0334,12796
2020-07-22,0.0348,0.0348,0.0348,0.0348,128000
2020-07-20,0.0270,0.0348,0.0250,0.0348,128000
2020-07-17,0.0310,0.0350,0.0250,0.0350,21000
2020-07-15,0.0300,0.0357,0.0300,0.0357,100200
2020-07-14,0.0340,0.0356,0.0340,0.0356,91100
2020-07-13,0.0300,0.0300,0.0300,0.0300,20
2020-07-10,0.0300,0.0320,0.0300,0.0300,24100
2020-07-09,0.0300,0.0357,0.0300,0.0357,212000
2020-07-07,0.0310,0.0360,0.0310,0.0360,3500
2020-07-06,0.0360,0.0360,0.0360,0.0360,3000
2020-07-02,0.0332,0.0332,0.0332,0.0332,42
2020-07-01,0.0332,0.0332,0.0315,0.0332,10488
2020-06-30,0.0315,0.0348,0.0315,0.0348,30997
2020-06-29,0.0330,0.0350,0.0330,0.0350,35228
2020-06-26,0.0334,0.0334,0.0334,0.0334,831
2020-06-25,0.0408,0.0408,0.0300,0.0305,457000
2020-06-24,0.0315,0.0408,0.0305,0.0357,205043
2020-06-23,0.0315,0.0344,0.0315,0.0344,9000
2020-06-22,0.0385,0.0385,0.0375,0.0375,21100
2020-06-19,0.0369,0.0369,0.0369,0.0369,101
2020-06-18,0.0325,0.0325,0.0325,0.0325,3000
2020-06-17,0.0368,0.0368,0.0322,0.0322,21134
2020-06-16,0.0414,0.0414,0.0320,0.0320,34121
2020-06-15,0.0426,0.0426,0.0310,0.0310,26240
2020-06-12,0.0428,0.0428,0.0250,0.0427,421565
2020-06-11,0.0429,0.0429,0.0251,0.0429,42087
2020-06-10,0.0440,0.0440,0.0246,0.0400,224450
2020-06-09,0.0438,0.0438,0.0301,0.0301,63000
2020-06-08,0.0440,0.0440,0.0440,0.0440,1
2020-06-04,0.0440,0.0440,0.0440,0.0440,9055
2020-06-03,0.0328,0.0380,0.0301,0.0302,200874
2020-06-02,0.0472,0.0472,0.0456,0.0471,80000
2020-06-01,0.0325,0.0325,0.0325,0.0325,150
2020-05-22,0.0450,0.0459,0.0388,0.0459,2982
2020-05-21,0.0370,0.0460,0.0370,0.0460,21700
2020-05-20,0.0460,0.0470,0.0310,0.0380,194322
2020-05-19,0.0315,0.0415,0.0315,0.0415,29100
2020-05-18,0.0459,0.0459,0.0459,0.0459,17
2020-05-15,0.0350,0.0459,0.0341,0.0459,119679
2020-05-14,0.0487,0.0489,0.0439,0.0489,18064
2020-05-13,0.0380,0.0435,0.0350,0.0435,35000
2020-05-12,0.0380,0.0380,0.0380,0.0380,1000
2020-05-11,0.0450,0.0450,0.0350,0.0350,1555
2020-05-08,0.0350,0.0350,0.0350,0.0350,500
2020-05-06,0.0340,0.0449,0.0310,0.0449,486053
2020-05-04,0.0370,0.0550,0.0316,0.0540,237900
2020-04-30,0.0570,0.0570,0.0570,0.0570,3500
2020-04-29,0.0325,0.0570,0.0325,0.0570,69866
2020-04-28,0.0325,0.0325,0.0325,0.0325,375
2020-04-23,0.0320,0.0485,0.0320,0.0485,3800
2020-04-22,0.0352,0.0452,0.0352,0.0452,1000
