timestamp,open,high,low,close,volume
2020-07-24,5.1396,5.1700,5.1000,5.1200,71142
2020-07-23,5.1700,5.1900,5.1300,5.1400,58198
2020-07-22,5.2000,5.2100,5.1300,5.1500,2398074
2020-07-21,5.2500,5.2600,5.2100,5.2100,1937940
2020-07-20,5.1200,5.1800,5.1100,5.1500,1478339
2020-07-17,5.1400,5.1700,5.1300,5.1500,66900
2020-07-16,5.1600,5.2200,5.1400,5.1700,56300
2020-07-15,5.1800,5.2100,5.1300,5.2100,93700
2020-07-14,5.0200,5.1000,5.0200,5.0900,71300
2020-07-13,4.9900,5.0600,4.9500,4.9700,66200
2020-07-10,4.9000,5.0500,4.8500,5.0400,79800
2020-07-09,4.8700,4.8900,4.7600,4.7800,41300
2020-07-08,4.9300,4.9700,4.8900,4.9400,40400
2020-07-07,5.0300,5.0300,4.8900,4.8900,93700
2020-07-06,5.0500,5.0800,4.9900,5.0100,101900
2020-07-02,4.8700,4.9100,4.8100,4.8100,81200
2020-07-01,4.6300,4.7100,4.6300,4.6600,26900
2020-06-30,4.6100,4.7200,4.5900,4.7200,111800
2020-06-29,4.6400,4.7200,4.6101,4.6450,84270
2020-06-26,4.5421,4.5500,4.4500,4.4700,60291
2020-06-25,4.5000,4.6900,4.5000,4.6900,93582
2020-06-24,4.5800,4.5800,4.4500,4.4800,29776
2020-06-23,4.7400,4.7500,4.6400,4.6670,54276
2020-06-22,4.4300,4.5300,4.4300,4.5200,80003
2020-06-19,4.6100,4.6100,4.3700,4.3800,107319
2020-06-18,4.5200,4.5750,4.5000,4.5479,65416
2020-06-17,4.6300,4.6300,4.5600,4.5600,32097
2020-06-16,4.7100,4.7250,4.5900,4.5900,80403
2020-06-15,4.4050,4.6200,4.4050,4.5900,144240
2020-06-12,4.5700,4.6096,4.4600,4.5800,104258
2020-06-11,4.5500,4.6200,4.3800,4.3800,114964
2020-06-10,4.9000,4.9000,4.7500,4.7500,88335
2020-06-09,4.9000,4.9400,4.8350,4.8900,144648
2020-06-08,5.2450,5.2450,5.1200,5.1600,79933
2020-06-05,5.0600,5.1100,5.0200,5.0300,43436
2020-06-04,4.7300,4.8500,4.7280,4.8500,44899
2020-06-03,4.6500,4.7450,4.6500,4.7400,104987
2020-06-02,4.5000,4.5500,4.4900,4.5200,122864
2020-06-01,4.3600,4.4340,4.3500,4.4200,130863
2020-05-29,4.3120,4.3500,4.2400,4.2600,202342
2020-05-28,4.3600,4.3900,4.3100,4.3200,103842
2020-05-27,4.3500,4.3800,4.2700,4.3700,280662
2020-05-26,3.9600,4.1600,3.9600,4.1000,130044
2020-05-22,3.7280,3.7300,3.6700,3.7200,90135
2020-05-21,3.7350,3.7650,3.6800,3.7100,252565
2020-05-20,3.7600,3.8350,3.7600,3.7800,5942818
2020-05-19,3.7700,3.8250,3.6900,3.6900,533783
2020-05-18,3.7700,3.9500,3.7400,3.9200,316227
2020-05-15,3.7100,3.7100,3.6000,3.6200,2801915
2020-05-14,3.5200,3.6400,3.4165,3.6000,234224
2020-05-13,3.6500,3.6800,3.6000,3.6400,163053
2020-05-12,3.7400,3.7700,3.6700,3.6900,389206
2020-05-11,3.8300,3.8300,3.7200,3.7742,179158
2020-05-08,3.8900,3.9100,3.8300,3.9100,144782
2020-05-07,3.8000,3.8500,3.7400,3.8200,501045
2020-05-06,3.8200,3.8300,3.6900,3.6900,215626
2020-05-05,3.8000,3.9100,3.7600,3.7600,277738
2020-05-04,3.7700,3.8155,3.7100,3.7580,155812
2020-05-01,3.8975,4.0700,3.7800,3.8300,192225
2020-04-30,3.8700,3.9800,3.8250,3.9400,375056
2020-04-29,4.1000,4.2035,4.0800,4.1800,357384
2020-04-28,3.9456,3.9500,3.8400,3.8650,416033
2020-04-27,3.5500,3.6900,3.5100,3.6700,460018
2020-04-24,3.5330,3.5700,3.4700,3.5600,176367
2020-04-23,3.4800,3.6400,3.4800,3.5350,168567
2020-04-22,3.4400,3.5000,3.3975,3.4400,188308
2020-04-21,3.3925,3.4600,3.3200,3.3550,575241
2020-04-20,3.4600,3.5350,3.4250,3.4500,351267
2020-04-17,3.4500,3.5600,3.4000,3.5500,361915
2020-04-16,3.3700,3.3700,3.2800,3.3500,238400
2020-04-15,3.4200,3.4300,3.3000,3.3600,193802
2020-04-14,3.7100,3.7890,3.6210,3.6900,765036
2020-04-13,3.6200,3.8400,3.6200,3.6800,235560
2020-04-09,3.7650,3.8300,3.7300,3.8150,346439
2020-04-08,3.5200,3.6300,3.4900,3.6300,261341
2020-04-07,3.6900,3.7200,3.5500,3.5800,711395
2020-04-06,3.2950,3.3800,3.2680,3.3500,633628
2020-04-03,3.2700,3.3000,3.1500,3.1800,306937
2020-04-02,3.2875,3.3970,3.2800,3.3700,397331
2020-04-01,3.4050,3.4200,3.3500,3.3600,288527
2020-03-31,3.6420,3.6900,3.5400,3.5500,361647
2020-03-30,3.6100,3.7000,3.5600,3.7000,543780
2020-03-27,3.8500,3.9500,3.7845,3.8650,205914
2020-03-26,3.9100,4.0700,3.8700,4.0650,284464
2020-03-25,3.8700,4.0620,3.8000,3.9400,274992
2020-03-24,3.6900,3.7500,3.5400,3.7050,414133
2020-03-23,3.5325,3.7000,3.4400,3.4400,236566
2020-03-20,3.2600,3.5900,3.2600,3.4750,260872
2020-03-19,3.2075,3.5080,3.1700,3.3450,505209
2020-03-18,3.3100,3.4670,3.1600,3.2201,352866
2020-03-17,3.2900,3.6000,3.2900,3.5900,651605
2020-03-16,3.1900,3.5000,3.1800,3.2200,584380
2020-03-13,4.1300,4.1400,3.6800,4.1400,709744
2020-03-12,3.9950,4.0000,3.5000,3.5900,843547
2020-03-11,4.4900,4.5150,4.2550,4.3000,287465
2020-03-10,4.4675,4.5400,4.2850,4.5250,780038
2020-03-09,4.6500,4.7300,4.2000,4.2300,428737
2020-03-06,5.1700,5.2600,5.1000,5.1900,285403
2020-03-05,5.3300,5.3650,5.2200,5.2800,760187
2020-03-04,5.5700,5.6800,5.5000,5.6750,1636628
