timestamp,open,high,low,close,volume
2020-07-24,6.9400,6.9954,6.8400,6.9000,57169
2020-07-23,6.8900,7.0299,6.8400,6.9100,96443
2020-07-22,7.0500,7.0500,6.9100,6.9600,38288
2020-07-21,6.8500,7.0300,6.7600,6.9600,125636
2020-07-20,6.9600,6.9700,6.6700,6.9000,149971
2020-07-17,7.0700,7.0800,6.9300,6.9600,93600
2020-07-16,7.0800,7.2200,7.0700,7.1800,135700
2020-07-15,7.0700,7.1400,7.0600,7.0800,108400
2020-07-14,7.0700,7.2400,7.0500,7.1000,49900
2020-07-13,7.0000,7.3500,7.0000,7.0700,80100
2020-07-10,6.8900,7.0000,6.8900,6.9800,58300
2020-07-09,7.1000,7.1000,6.9500,6.9600,54400
2020-07-08,7.0400,7.1500,7.0300,7.0800,29100
2020-07-07,7.2400,7.2400,6.9600,7.0400,88300
2020-07-06,7.2400,7.2600,7.1100,7.2100,66300
2020-07-02,7.0200,7.1300,6.9300,7.1200,115400
2020-07-01,6.9400,7.0700,6.7600,6.9400,129700
2020-06-30,6.8700,7.0800,6.7500,7.0500,103500
2020-06-29,6.8100,7.0700,6.8100,6.9600,63200
2020-06-26,7.0800,7.0800,6.6400,6.8400,147200
2020-06-25,7.0300,7.1100,7.0200,7.0400,33800
2020-06-24,7.2200,7.2600,6.9000,7.0200,149500
2020-06-23,7.1500,7.3200,7.1100,7.2000,52000
2020-06-22,7.1600,7.3500,7.1200,7.1200,57100
2020-06-19,7.2100,7.2400,7.1300,7.1400,50300
2020-06-18,7.1600,7.2700,7.0900,7.1800,42400
2020-06-17,7.4200,7.5900,7.0400,7.1200,112000
2020-06-16,7.3100,7.3900,7.1700,7.2900,70100
2020-06-15,7.1700,7.2100,7.0700,7.1500,68100
2020-06-12,7.4400,7.5000,7.2500,7.2900,45300
2020-06-11,7.7200,7.8300,7.1400,7.2500,191900
2020-06-10,7.8800,8.0200,7.8800,7.9500,117200
2020-06-09,7.6500,7.9800,7.3500,7.9700,154500
2020-06-08,7.9100,8.0800,7.8400,7.9000,133700
2020-06-05,8.0000,8.1400,7.9000,7.9700,122200
2020-06-04,7.8000,7.9700,7.7700,7.8500,91000
2020-06-03,7.7000,7.8000,7.6300,7.8000,72800
2020-06-02,7.3400,7.7200,7.3400,7.5700,96900
2020-06-01,7.0900,7.3500,7.0700,7.3100,82100
2020-05-29,6.8800,7.3000,6.8800,7.2200,84200
2020-05-28,7.0600,7.2100,6.8800,6.9600,109800
2020-05-27,6.9900,7.2000,6.9900,7.1600,110200
2020-05-26,6.8100,7.0200,6.8000,7.0000,199500
2020-05-22,6.4800,6.7000,6.4000,6.6700,83600
2020-05-21,6.4500,6.6100,6.3200,6.4900,89000
2020-05-20,6.2500,6.4500,6.1900,6.4300,65400
2020-05-19,6.2500,6.4300,6.1900,6.2400,80400
2020-05-18,6.0700,6.4500,6.0700,6.2200,244600
2020-05-15,6.1000,6.1300,5.7900,5.9000,231400
2020-05-14,6.0900,6.2400,5.7700,6.2200,174500
2020-05-13,6.2200,6.2600,6.0800,6.2300,97700
2020-05-12,6.2100,6.4200,6.1200,6.2000,147100
2020-05-11,6.1200,6.3300,6.1200,6.1900,153300
2020-05-08,6.2000,6.3200,6.1600,6.2800,62800
2020-05-07,6.0700,6.2700,6.0200,6.1300,196700
2020-05-06,6.1900,6.2200,5.9600,6.0400,135400
2020-05-05,6.2300,6.4000,6.1100,6.1900,206100
2020-05-04,5.9000,6.2400,5.8000,6.2400,177500
2020-05-01,5.8700,6.3400,5.8500,6.1000,178300
2020-04-30,6.0500,6.4500,5.9200,6.0200,313300
2020-04-29,5.7300,6.1400,5.7200,5.9400,226000
2020-04-28,5.6400,5.7200,5.5600,5.6500,154100
2020-04-27,5.8000,5.9100,5.3300,5.6700,420400
2020-04-24,6.0800,6.2000,5.7200,5.8300,300400
2020-04-23,6.3300,6.3900,6.0100,6.1800,446200
2020-04-22,6.9600,7.1000,6.8900,6.9600,155800
2020-04-21,7.2600,7.2600,6.8600,7.0200,205000
2020-04-20,7.4000,7.5700,7.3000,7.4100,162600
2020-04-17,7.7300,7.9400,7.3700,7.5800,296000
2020-04-16,7.5600,7.8700,7.5600,7.7200,415300
2020-04-15,7.7000,7.8500,7.5300,7.6100,201600
2020-04-14,7.9200,8.1600,7.8600,8.0600,228500
2020-04-13,7.5700,7.7400,7.3600,7.6500,173000
2020-04-09,7.1700,7.7500,7.1400,7.5700,285600
2020-04-08,6.8000,7.2600,6.2500,7.1700,284900
2020-04-07,6.9000,7.4800,6.7000,6.7600,277800
2020-04-06,6.2000,6.6700,6.1300,6.5600,101700
2020-04-03,6.3000,6.6900,6.0200,6.0200,130400
2020-04-02,6.3100,6.7100,6.1700,6.4000,126500
2020-04-01,7.1200,7.1900,6.1400,6.3200,340800
2020-03-31,7.4500,7.6000,7.3000,7.4300,161200
2020-03-30,7.6600,7.8300,7.4800,7.6300,130300
2020-03-27,7.8800,7.9900,7.2900,7.8500,133800
2020-03-26,7.6700,8.6200,7.5100,8.1600,288200
2020-03-25,6.2400,7.4200,6.2400,7.2800,183800
2020-03-24,6.0000,6.5000,5.9400,6.2100,148100
2020-03-23,6.3400,6.5700,5.5100,5.6000,242600
2020-03-20,6.3000,7.3200,6.2300,6.6300,265700
2020-03-19,4.8700,6.4000,3.4600,5.9000,461800
2020-03-18,6.1700,6.3600,4.8500,4.9200,570600
2020-03-17,6.3700,6.7900,6.0200,6.6700,209500
2020-03-16,6.3500,6.9700,6.3400,6.3700,309800
2020-03-13,7.9500,8.0300,7.6300,7.7400,262000
2020-03-12,9.3500,9.3500,6.5100,7.8000,746000
2020-03-11,11.0800,11.2100,10.1200,10.2600,274700
2020-03-10,11.1500,11.4300,10.9200,11.4300,106700
2020-03-09,11.3700,11.4000,10.0200,10.9100,270500
2020-03-06,12.1000,12.3400,11.9000,12.1300,154500
2020-03-05,12.5700,12.6500,12.3000,12.4500,132000
2020-03-04,12.5100,12.7900,12.3400,12.7400,118100
