timestamp,open,high,low,close,volume
2020-07-24,11.0000,11.0150,10.8500,10.9200,4835311
2020-07-23,11.3400,11.3500,11.0650,11.1050,4447554
2020-07-22,11.2900,11.3400,11.1650,11.2250,5150394
2020-07-21,11.4100,11.6800,11.3100,11.3100,5231384
2020-07-20,11.1400,11.4100,11.1050,11.4000,5438454
2020-07-17,11.2800,11.3350,11.0700,11.1450,5905088
2020-07-16,11.0600,11.2900,11.0350,11.2750,4958810
2020-07-15,11.0300,11.2600,10.8950,11.1750,5538825
2020-07-14,11.0100,11.1100,10.8600,11.0100,4983034
2020-07-13,11.0050,11.1150,10.8800,11.1150,4558233
2020-07-10,10.7500,10.9700,10.5800,10.9300,7252348
2020-07-09,11.2450,11.2500,10.7950,10.8000,8071164
2020-07-08,11.2900,11.3850,11.1800,11.2800,5858971
2020-07-07,11.3700,11.3800,11.2350,11.3050,3863187
2020-07-06,11.5650,11.6650,11.3650,11.4050,5122505
2020-07-03,11.3750,11.5150,11.3250,11.3850,4692403
2020-07-02,11.0700,11.4700,11.0700,11.3700,9535437
2020-07-01,11.0050,11.0400,10.7100,10.9250,6379114
2020-06-30,11.1750,11.3000,11.0000,11.0000,9801437
2020-06-29,10.9450,11.1900,10.8950,11.1900,7387072
2020-06-26,11.0400,11.1150,10.8500,10.8950,5505416
2020-06-25,10.9400,11.0750,10.7500,10.9600,5896191
2020-06-24,11.1700,11.1700,10.9400,10.9400,4858570
2020-06-23,11.2950,11.4800,11.1550,11.2150,6132360
2020-06-22,11.0950,11.1800,10.9550,11.1000,6922617
2020-06-19,11.2650,11.3650,11.1800,11.2500,13023738
2020-06-18,11.2400,11.2900,11.0900,11.1950,4713453
2020-06-17,11.1000,11.3100,11.1000,11.2500,7010345
2020-06-16,11.0450,11.3400,10.9050,11.1400,8732193
2020-06-15,10.7150,10.8850,10.5400,10.8100,8362912
2020-06-12,10.6900,11.0850,10.6500,10.9550,6594487
2020-06-11,11.2150,11.2200,10.7400,10.7750,12027324
2020-06-10,11.9050,12.0050,11.4000,11.4000,9572778
2020-06-09,11.9950,12.1100,11.5850,11.8600,12381913
2020-06-08,11.6200,12.1150,11.5650,11.9500,8880476
2020-06-05,11.4400,11.8050,11.4300,11.6900,9737153
2020-06-04,11.5000,11.6100,11.3550,11.3600,8479323
2020-06-03,10.9650,11.6100,10.9350,11.6100,10583416
2020-06-02,10.7400,10.9250,10.6900,10.9050,6905699
2020-06-01,10.7500,10.8300,10.5900,10.6500,4450458
2020-05-29,10.8100,10.8450,10.5050,10.6350,10756764
2020-05-28,10.6250,10.8750,10.5300,10.8550,9494321
2020-05-27,10.3350,10.6100,10.2150,10.5450,9137660
2020-05-26,10.0800,10.3300,10.0700,10.2450,7205097
2020-05-25,9.8900,9.9860,9.8160,9.9640,2713117
2020-05-22,9.8000,9.9060,9.7500,9.8220,6535742
2020-05-21,9.7560,10.0200,9.6600,9.9100,7049826
2020-05-20,9.7160,9.8220,9.5720,9.7840,5721806
2020-05-19,9.9780,9.9840,9.6900,9.7320,7316381
2020-05-18,9.5420,9.9440,9.5100,9.8700,8017052
2020-05-15,9.2780,9.6120,9.2780,9.3760,8304559
2020-05-14,9.0860,9.3680,8.8500,9.2460,11575090
2020-05-13,9.5400,9.5680,9.1560,9.1720,6708632
2020-05-12,9.9000,9.9000,9.1680,9.3400,8586200
2020-05-11,9.9100,9.9140,9.5960,9.7600,4789019
2020-05-08,9.7400,9.7980,9.6560,9.7980,3844981
2020-05-07,9.6500,9.6940,9.4280,9.6900,5811599
2020-05-06,9.5640,9.7860,9.4140,9.5780,7014738
2020-05-05,9.5900,9.6960,9.4060,9.5640,6017331
2020-05-04,9.4740,9.7620,9.4380,9.4440,7960351
2020-04-30,10.1400,10.3250,9.8460,9.9040,10924350
2020-04-29,9.4000,10.0100,9.3620,9.9900,8906924
2020-04-28,9.2580,9.4540,9.1780,9.3700,5669310
2020-04-27,9.4800,9.4980,9.1060,9.3140,5755183
2020-04-24,9.0400,9.2840,8.9820,9.2460,4652615
2020-04-23,9.1580,9.3320,8.9880,9.2020,5493614
2020-04-22,9.3000,9.3280,9.0680,9.1360,6466289
2020-04-21,9.3420,9.3540,9.1160,9.2200,7499454
2020-04-20,9.5760,9.5780,9.3220,9.5000,4783415
2020-04-17,9.5740,9.6560,9.3520,9.4920,9768052
2020-04-16,9.3660,9.4700,9.1780,9.3520,7472506
2020-04-15,9.6500,9.7280,9.2920,9.3340,8854527
