timestamp,open,high,low,close,volume
2020-07-24,282.8800,285.6300,278.0138,280.2500,1929067
2020-07-23,280.0000,284.3300,279.1100,280.9700,2037720
2020-07-22,276.4700,282.4000,274.5135,280.4200,1592375
2020-07-21,273.9200,279.5700,273.7600,276.3300,1489580
2020-07-20,275.5000,277.8800,273.2500,274.3300,1592190
2020-07-17,270.0600,277.4600,268.9300,275.3800,3115400
2020-07-16,259.8500,269.8000,258.7500,268.3800,2541800
2020-07-15,264.5800,266.4200,258.8100,259.0000,2111200
2020-07-14,256.2400,264.6900,255.8600,262.5500,3038600
2020-07-13,258.9900,262.4100,255.3900,256.2400,2399600
2020-07-10,252.1800,261.2900,251.7700,259.6000,2519600
2020-07-09,251.2300,253.3700,248.5600,251.9900,1704700
2020-07-08,246.8300,254.1400,246.1200,253.2700,2408300
2020-07-07,244.4500,248.3400,243.6400,246.7200,1504300
2020-07-06,248.1900,249.1500,244.5800,246.9600,1564200
2020-07-02,248.1600,249.7200,245.7500,246.4000,1495300
2020-07-01,239.6700,247.5000,238.3100,246.2600,1529800
2020-06-30,238.9100,241.8100,237.5000,240.1700,2383100
2020-06-29,237.5100,238.4900,233.7600,238.2400,1448300
2020-06-26,238.5000,242.0600,234.8100,236.2200,2526219
2020-06-25,241.3200,241.3200,235.5701,239.1600,1956163
2020-06-24,241.3400,244.4799,238.5200,241.6700,1725194
2020-06-23,249.1700,250.2516,242.3130,243.2100,2326509
2020-06-22,243.2000,248.2000,240.5500,247.0400,1797732
2020-06-19,251.5000,251.6400,242.2100,242.2100,3613206
2020-06-18,248.2000,249.9200,246.3500,248.9300,1596161
2020-06-17,249.9900,251.0000,245.7100,249.0000,1691867
2020-06-16,253.5200,253.6800,246.6700,248.1700,2014221
2020-06-15,244.7200,250.9300,241.3300,248.5700,2101106
2020-06-12,251.7700,252.1200,244.2400,246.9100,2089162
2020-06-11,254.8600,254.9600,245.8700,248.3300,2429623
2020-06-10,258.8100,260.9000,255.5700,256.7900,1665365
2020-06-09,259.1100,259.1500,254.0600,258.6700,1997597
2020-06-08,253.0600,260.7400,250.5700,260.4800,2036722
2020-06-05,252.1800,258.5600,250.0100,254.3800,3092709
2020-06-04,257.6600,260.5500,248.0800,251.8900,3003121
2020-06-03,258.1900,262.2599,256.7000,259.5800,1825786
2020-06-02,255.5700,260.3300,253.7301,256.6000,2660013
2020-06-01,254.0900,258.3350,251.2500,255.6500,1663909
2020-05-29,250.1100,256.5050,249.5000,255.5600,3827393
2020-05-28,244.4000,252.0600,243.6400,251.3600,3103944
2020-05-27,237.7500,241.2400,234.9400,241.1300,3085840
2020-05-26,236.3400,238.4000,233.8000,234.3100,1914736
2020-05-22,228.8300,234.0100,227.1529,233.8500,1497513
2020-05-21,232.7000,233.4800,228.0650,228.9000,2077064
2020-05-20,232.3000,236.2264,230.8000,232.7900,1461827
2020-05-19,233.9200,234.7250,230.4600,230.5000,1633233
2020-05-18,233.9400,236.9000,232.4900,235.4500,2280839
2020-05-15,230.0300,230.8750,223.2200,227.8500,5058121
2020-05-14,227.7700,233.3250,227.2900,232.2300,2898938
2020-05-13,226.8400,230.5300,226.0000,230.1200,3519206
2020-05-12,228.2000,229.4300,225.2700,227.9300,2391327
2020-05-11,226.7900,228.2800,224.1100,227.3800,1963613
2020-05-08,227.3900,230.6300,225.7400,229.7300,2827174
2020-05-07,225.2000,228.5900,222.7800,224.4800,2172966
2020-05-06,230.9200,231.1600,222.6200,222.6600,1844362
2020-05-05,231.3600,234.5450,229.3900,230.1000,2010499
2020-05-04,227.0000,231.1700,224.9400,230.0900,2269280
2020-05-01,229.9100,230.0200,225.0000,227.0500,2292036
2020-04-30,233.8600,233.9000,228.9000,231.1200,4483325
2020-04-29,241.9900,242.3400,233.2900,235.1300,2475376
2020-04-28,246.2600,246.9000,238.1000,239.3000,2116194
2020-04-27,242.1100,246.3169,241.4300,243.6000,2114446
2020-04-24,241.7300,241.9500,235.9500,239.7000,2007321
2020-04-23,246.3900,247.7499,240.1300,241.1400,2340084
2020-04-22,237.9300,248.7000,237.9300,247.1700,2939864
2020-04-21,235.0700,238.1700,231.0600,235.4200,2655351
2020-04-20,245.4500,247.3000,237.1100,237.6100,2178623
2020-04-17,242.5100,247.1300,238.7700,246.2600,2738166
2020-04-16,239.9800,240.7900,235.6810,237.4800,2580580
2020-04-15,240.0400,241.3900,235.5300,237.2200,2497661
2020-04-14,241.8500,244.9800,238.3700,242.3800,2918275
2020-04-13,242.5600,243.8650,234.3800,236.2100,2689145
2020-04-09,235.8400,250.8700,235.3800,245.2800,4896895
2020-04-08,229.6300,236.1900,224.0400,233.5000,4571922
2020-04-07,240.3500,240.9900,228.1600,228.4900,2626801
2020-04-06,230.7900,237.0400,228.0200,234.5100,3316904
2020-04-03,223.9600,228.5650,217.5400,221.6400,2188896
2020-04-02,215.0000,229.5400,214.1400,226.4500,2308581
2020-04-01,230.9600,231.9900,213.0400,218.2300,3422837
2020-03-31,242.1100,247.9000,239.1600,240.6200,4724797
2020-03-30,237.3100,248.2300,234.3600,246.0100,4093156
2020-03-27,225.4800,240.3200,223.3900,231.9500,4046080
2020-03-26,210.9000,234.1700,210.6000,231.1000,3663774
2020-03-25,205.6800,220.2500,195.0700,210.2700,4448536
2020-03-24,187.8500,208.4800,186.4900,206.5300,4474409
2020-03-23,186.6700,188.5700,174.8000,181.6600,5914621
2020-03-20,205.7500,209.9000,186.8615,191.7500,5617469
2020-03-19,210.0100,221.6250,200.5400,207.1000,4360289
2020-03-18,209.0600,227.9900,199.7600,210.6400,5548740
2020-03-17,205.4600,227.4700,204.0000,221.7600,5384516
2020-03-16,198.0000,220.6600,196.7400,201.3700,5056077
2020-03-13,220.0500,221.9900,196.3588,221.5600,7896543
2020-03-12,216.1300,231.6600,206.0500,208.8900,7909286
2020-03-11,249.2000,249.2200,238.5600,241.2600,4812374
2020-03-10,265.6300,267.3200,242.3100,255.7300,5935906
2020-03-09,254.4600,266.3200,254.4600,261.2800,3891095
2020-03-06,268.5600,272.9100,261.6950,271.8200,3639143
2020-03-05,277.0500,279.8600,272.4400,276.1600,3102902
2020-03-04,269.2000,282.5700,269.2000,282.2200,3677563
