timestamp,open,high,low,close,volume
2020-07-24,11.5000,11.5982,11.4200,11.4700,2574667
2020-07-23,11.6000,11.7900,11.4700,11.5100,4008300
2020-07-22,11.4200,11.5200,11.3600,11.4900,2413360
2020-07-21,11.6500,11.7800,11.5000,11.5400,3282093
2020-07-20,11.5200,11.6800,11.5200,11.5900,2572839
2020-07-17,11.6800,11.7000,11.5400,11.5600,2384800
2020-07-16,11.8500,11.9600,11.6400,11.6500,3796200
2020-07-15,12.1000,12.1300,11.8800,12.0200,4618300
2020-07-14,11.4100,11.8500,11.3300,11.8100,4954300
2020-07-13,11.8800,11.9700,11.5700,11.5800,6472900
2020-07-10,10.9900,11.4900,10.9700,11.4600,4905100
2020-07-09,11.1200,11.1800,10.8100,10.9300,3313300
2020-07-08,11.2300,11.4700,11.1800,11.2800,4548400
2020-07-07,11.4400,11.5600,11.3200,11.3200,4132400
2020-07-06,11.4300,11.6100,11.2000,11.5900,6779500
2020-07-02,11.1600,11.2900,10.8800,10.9400,4306900
2020-07-01,10.7000,10.8700,10.4600,10.6200,5984200
2020-06-30,10.2500,10.8200,10.2300,10.7300,18103900
2020-06-29,10.4500,10.6100,10.2900,10.5700,6560800
2020-06-26,10.3700,10.4350,10.0700,10.1600,5716341
2020-06-25,10.1500,10.6300,10.1050,10.6300,5068181
2020-06-24,10.5700,10.5900,10.0401,10.1200,6392407
2020-06-23,11.0400,11.1200,10.8300,10.8500,6208938
2020-06-22,10.4500,10.6400,10.3150,10.5400,5539602
2020-06-19,10.7500,10.7600,10.2000,10.2800,6061348
2020-06-18,10.5000,10.7100,10.4600,10.5700,6643562
2020-06-17,11.4000,11.4300,10.9800,11.0000,3863494
2020-06-16,11.3100,11.4800,10.9600,11.2600,5955678
2020-06-15,10.3500,10.9250,10.2750,10.8500,4490976
2020-06-12,10.8700,11.0450,10.5500,10.8300,7720540
2020-06-11,10.5900,10.6600,9.9200,9.9900,7064105
2020-06-10,11.2100,11.3000,10.8900,11.0100,7038535
2020-06-09,11.5100,11.6500,11.2400,11.3200,6297859
2020-06-08,12.3600,12.3800,11.6150,11.9600,6617050
2020-06-05,11.8500,11.9400,11.4700,11.5900,9892562
2020-06-04,11.2900,11.5300,11.1500,11.3500,6419828
2020-06-03,11.0700,11.2800,11.0100,11.0600,6165883
2020-06-02,10.4500,10.6350,10.4100,10.6200,5726164
2020-06-01,9.8600,10.1900,9.8100,10.1200,4059792
2020-05-29,9.6700,9.7450,9.4701,9.6200,6569169
