timestamp,open,high,low,close,volume
2020-07-24,3.6800,3.8000,3.5600,3.5900,28300
2020-07-23,3.6600,3.8404,3.5700,3.7100,158921
2020-07-22,3.6900,3.7000,3.6400,3.6800,44024
2020-07-21,3.6000,3.7400,3.5100,3.7000,74707
2020-07-20,3.7700,3.7700,3.5000,3.5300,46758
2020-07-17,3.4000,3.8400,3.0800,3.7700,177700
2020-07-16,3.4100,3.4900,3.2600,3.4500,101800
2020-07-15,3.2000,3.4200,3.1250,3.4000,174300
2020-07-14,3.0000,3.1900,2.9600,3.1800,84900
2020-07-13,3.1000,3.2000,3.0100,3.0600,119300
2020-07-10,3.0100,3.1000,2.9500,3.1000,74300
2020-07-09,3.2000,3.2000,2.8180,3.0100,234000
2020-07-08,3.2300,3.3200,3.1000,3.2000,319900
2020-07-07,3.3000,3.3900,3.1900,3.2200,82200
2020-07-06,3.5000,3.5000,3.2800,3.3100,116800
2020-07-02,3.4400,3.6300,3.3650,3.4400,60500
2020-07-01,3.4600,3.6300,3.2920,3.3600,88400
2020-06-30,3.6000,3.6750,3.4200,3.4800,131800
2020-06-29,4.0000,4.1000,3.5950,3.6600,595700
2020-06-26,3.6000,5.4800,2.9550,5.4800,431467
2020-06-25,3.6600,3.7100,3.5500,3.6500,65249
2020-06-24,3.8800,3.8800,3.6100,3.6500,79568
2020-06-23,3.9900,4.0500,3.7700,3.9100,58373
2020-06-22,3.9700,4.0500,3.8300,3.8900,80422
2020-06-19,3.9600,4.0800,3.8100,4.0000,178048
2020-06-18,3.8000,3.9900,3.7501,3.9000,43810
2020-06-17,3.9400,3.9900,3.8000,3.8100,62364
2020-06-16,4.0000,4.1500,3.8900,3.9000,158235
2020-06-15,3.6600,3.8800,3.5300,3.7500,123330
2020-06-12,3.8900,3.9900,3.7000,3.7500,159984
2020-06-11,4.0000,4.1500,3.7000,3.7250,244588
2020-06-10,3.9500,4.5000,3.8500,4.2900,257305
2020-06-09,4.0500,4.2000,3.6100,3.6600,190861
2020-06-08,3.8000,4.0900,3.7600,4.0300,187176
2020-06-05,3.6100,3.7500,3.4713,3.6800,140189
2020-06-04,3.5600,3.5650,3.3200,3.4000,116090
2020-06-03,3.2800,3.5450,3.2590,3.4900,94719
2020-06-02,3.2700,3.3500,3.0500,3.1600,100684
2020-06-01,3.3600,3.3700,3.1300,3.2200,101903
2020-05-29,3.4500,3.4500,3.1600,3.3300,109993
2020-05-28,3.6100,3.7500,3.2500,3.4900,128871
2020-05-27,3.3000,3.5800,3.2673,3.5600,124884
2020-05-26,3.0200,3.3000,3.0200,3.2500,110055
2020-05-22,3.0000,3.0500,2.9004,3.0300,69759
2020-05-21,2.9300,3.0300,2.8900,2.9900,107049
2020-05-20,2.8300,3.0000,2.8200,2.9300,109295
2020-05-19,2.9000,2.9400,2.7300,2.7900,128737
2020-05-18,2.8600,2.9300,2.7900,2.9000,152521
2020-05-15,2.6500,2.7300,2.5700,2.7100,89182
2020-05-14,2.5200,2.6500,2.4500,2.6500,125142
2020-05-13,2.7500,2.7500,2.5100,2.6100,217414
2020-05-12,2.7700,2.9400,2.7600,2.8000,176993
2020-05-11,2.6000,2.8900,2.4000,2.7400,191062
2020-05-08,2.5500,2.6600,2.5000,2.6200,194735
2020-05-07,2.5400,2.6500,2.4900,2.5300,122924
2020-05-06,2.3500,2.5400,2.2300,2.4500,231232
2020-05-05,2.4500,2.5700,2.2500,2.2800,605016
2020-05-04,2.6000,2.6000,2.3700,2.4000,219774
2020-05-01,2.8700,2.8900,2.5000,2.5700,425402
2020-04-30,3.5100,3.5200,2.7500,2.8400,627391
2020-04-29,3.3000,3.7000,3.2758,3.5200,322468
2020-04-28,3.1200,3.3816,2.9900,3.2200,268128
2020-04-27,2.7000,3.0657,2.6950,3.0000,232262
2020-04-24,2.5400,2.6600,2.4500,2.6500,180857
2020-04-23,2.0700,2.6900,2.0000,2.4800,1650889
2020-04-22,2.0600,2.1200,2.0000,2.0300,111351
2020-04-21,2.0000,2.0200,1.9000,2.0000,232521
2020-04-20,1.9300,2.1900,1.9100,1.9900,140813
2020-04-17,2.1500,2.1800,1.8200,1.9000,234424
2020-04-16,2.1100,2.1591,1.9900,2.0400,126051
2020-04-15,2.3000,2.3700,2.1000,2.1100,145646
2020-04-14,2.6200,2.7400,2.3100,2.3500,137029
2020-04-13,2.7600,2.7600,2.4400,2.4900,83673
2020-04-09,2.6500,3.0000,2.5600,2.8000,213503
2020-04-08,2.6000,2.9100,2.3800,2.5600,207266
2020-04-07,2.6600,2.9600,2.3200,2.5600,105326
2020-04-06,2.4700,2.7100,2.3000,2.5900,177141
2020-04-03,2.2500,2.4150,1.9300,2.3100,168568
2020-04-02,2.3800,2.6400,2.2000,2.3100,131028
2020-04-01,2.8400,2.8400,2.0900,2.1700,138592
2020-03-31,2.8000,3.1300,2.7200,2.8600,352380
2020-03-30,3.0800,3.3300,2.7100,2.8200,142782
2020-03-27,3.4000,3.4630,3.0600,3.0800,73131
2020-03-26,3.5000,3.5300,3.2250,3.5000,141577
2020-03-25,3.6000,3.8356,3.3900,3.5100,76439
2020-03-24,3.4700,3.6150,3.1500,3.5500,328445
2020-03-23,3.5100,3.6400,3.1600,3.3500,107362
2020-03-20,3.5800,4.2100,3.1900,3.4900,805896
2020-03-19,2.6600,3.3500,2.6501,3.3500,156458
2020-03-18,3.1400,3.2047,2.5500,2.7100,224630
2020-03-17,3.3000,3.4500,3.1700,3.2600,134585
2020-03-16,3.1000,3.9900,3.1000,3.2600,160066
2020-03-13,3.6200,4.2500,3.4600,4.1600,133185
2020-03-12,4.4300,4.5000,2.4200,3.3700,197357
2020-03-11,4.4600,4.9250,4.1700,4.3700,74493
2020-03-10,4.9100,5.1750,4.4100,4.5100,76236
2020-03-09,5.3100,5.4500,4.5401,4.8700,121903
2020-03-06,5.5200,5.6500,5.3800,5.5300,68666
2020-03-05,5.6500,5.7400,5.6100,5.6900,87328
2020-03-04,5.7400,5.7400,5.6200,5.7400,65603
